code;traduction;titre;nb_rattachements;nb_concept;passages_concept;lectures_ouverture
52-0810A;SKN;Je Suis La Résurrection Et La Vie;4;3;Actes 2:30 | Actes 2:38 | Psaumes 72:0;
52-0810E;SKN;Jésus-Christ Est Le Même Hier, Aujourd’hui Et Éternellement;5;3;Jean 17:0 | Jean 5:0 | Matthieu 8:0;Hebreux 13:8 | Jean 16:0
52-0817E;SKN;Vous Croyez Maintenant?;6;3;Hebreux 11:2 | Hebreux 3:1 | Jean 5:0;Hebreux 13:8 | Jean 5:19
52-0900;SKN;La Voie De Dieu Qui A Eté Frayée Pour Nous;5;4;1 Corinthiens 12:0 | Actes 19:0 | Jean 11:0 | Marc 11:24;Esaie 35:0
52-0900;VGR;La voie de Dieu qui a été préparée pour nous;4;3;Actes 19:0 | Jean 11:0 | Marc 11:24;Esaie 35:0
52-1027;SKN;Jésus-Christ Est Le Même Hier, Aujourd’hui Et Éternellement;6;4;Jean 5:0 | Jean 5:19 | Jean 9:0 | Marc 11:24;
53-0215;SKN;Jésus-Christ est le même hier, aujourd'hui, et éternellement;2;0;;Hebreux 13:8 | Jean 5:19
53-0216;SKN;Mon Ange Marchera Devant Toi;1;1;Marc 11:24;
53-0216;VGR;Mon Ange marchera devant toi;1;1;Marc 11:24;
53-0219;SKN;Accepter Le Don De Dieu (Les Oeuvres Que Je Fais Rendent Témoignage);1;0;;Hebreux 3:1
53-0325;SKN;Israël En Egypte;14;14;Ephesiens 1:0 | Ephesiens 4:30 | Galates 1:8 | Genese 15:7 | Genese 45:0 | Jean 17:17 | Job 7:37 | Jude 4:0 | Matthieu 10:0 | Matthieu 1:18 | Matthieu 24:0 | Romains 4:0 | Romains 9:0 | job 7:20;
53-0326;SKN;Israël À La Mer Rouge, 1è Partie;6;6;Apocalypse 17:0 | Jean 5:24 | Jean 6:0 | Matthieu 27:0 | Matthieu 6:9-13 | Romains 8:1;
53-0327;SKN;Israël A La Mer Rouge #2;7;7;Actes 10:49 | Ephesiens 4:30 | Ephesiens 6:12 | Esaie 28:0 | Exode 12:0 | Romains 8:1 | actes 10:44;
53-0328;SKN;Israël À Kadès-Barnéa (Israël Devant Le Serpent D’airain);5;5;Actes 19:0 | Ephesiens 4:30 | Jean 5:24 | Psaumes 103:3 | Romains 8:1;
53-0329;SKN;Israël dans sa patrie;5;4;Apocalypse 17:0 | Exode 17:0 | Genese 3:14 | Josue 1:0;
53-0403;SKN;La Cruauté Du Péché Et La Peine Que Cela A Coutée Pour Delivrer Nos Vies Du Péché;2;2;Esaie 53:0 | Genese 1:0;
53-0403;VGR;La cruauté du péché, et la peine qu’il en a coûté pour éliminer le péché de notre vie;2;2;Esaie 53:0 | Genese 1:0;
53-0405S;SKN;Allez Dire À Mes Disciples;1;1;Job 14:0;
53-0506;SKN;Jésus-Christ Est Le Même Hier, Aujourd’hui Et Eternellement;6;4;Hebreux 13:8 | Hebreux 3:0 | Jean 5:0 | Jean 5:19;Jean 4:0
53-0507;SKN;Expectative;4;4;Esaie 9:0 | Jean 5:19 | Marc 11:24 | Matthieu 27:0;
53-0508;SKN;Dieu Commissionnant Moïse;1;1;Jean 5:19;
53-0509;SKN;La Colonne de Feu;2;2;Genese 1:0 | Genese 2:0;
53-0511;SKN;Nous L’avons Trouvé, Viens Et Vois;2;2;Hebreux 3:1 | Jean 5:19;
53-0512;SKN;Parle À Ce Rocher;5;4;Jean 14:0 | Jean 5:0 | Jean 5:24 | Jean 6:0;Romains 9:0
53-0513;SKN;La Voie À Laquelle Dieu A Pourvue;13;8;Apocalypse 1:0 | Hebreux 13:12 | Jean 14:12 | Jean 4:0 | Marc 11:0 | Marc 11:24 | Marc 16:0 | Matthieu 8:0;
53-0531;SKN;À La Recherche De Jésus;7;5;Actes 19:0 | Jean 12:0 | Jean 14:12 | Jean 5:0 | Jean 5:19;Hebreux 13:8
53-0601;SKN;Faîtes Ce Qu’il Vous Dira;1;0;;Hebreux 3:1
53-0602;SKN;L’autorité de la Parole;1;0;;Jeremie 1:4
53-0603;VGR;Dieu a commissionné Moïse;2;2;Exode 23:20-22 | Jean 5:19;
53-0603;SKN;Dieu Commissionnant Moïse;1;1;Jean 5:19;
53-0604;SKN;L’Ange Du Seigneur;5;2;Exode 13:21 | Hebreux 11:2;Actes 19:0 | Ephesiens 4:30
53-0605;SKN;Le Début De La Renommée De Jésus;1;1;Jean 5:19;
53-0606;SKN;Une Bannière;8;8;Genese 22:0 | Hebreux 13:8 | Jean 19:0 | Jean 5:0 | Jean 5:19 | Matthieu 27:0 | Matthieu 2:0 | Matthieu 8:0;
53-0607E;SKN;Un Témoignage;2;0;;Esaie 35:0 | Hebreux 11:2
53-0608A;SKN;Démonologie, domaine physique;3;2;Actes 19:0 | Jean 5:7;Psaumes 103:1
53-0608A;VGR;Démonologie, Domaine physique;3;2;Actes 19:0 | Jean 5:7;Psaumes 103:1
53-0608E;SKN;Sur Ta Parole;2;2;Marc 16:0 | Romains 4:0;
53-0609A;SKN;Démonologie, domaine religieux;2;2;Hebreux 6:0 | Matthieu 27:0;
53-0609A;VGR;Démonologie, Domaine religieux;2;2;Hebreux 6:0 | Matthieu 27:0;
53-0611;SKN;Montre-Nous Le Père Et Cela Nous Suffit;7;5;Apocalypse 1:0 | Genese 1:0 | Genese 1:28 | Marc 11:24 | Marc 16:0;
53-0612;SKN;Le Gazam, La Sauterelle, Le Jélek Et Le Hazil;4;0;;Jean 5:0 | Joel 1:0 | Marc 16:0 | Matthieu 24:0
53-0613;SKN;La Voie À Laquelle Dieu A Pourvue;2;0;;Actes 19:0 | Actes 1:8
53-0614;SKN;Je vois que Tu es Prophete;1;1;Hebreux 11:2;
53-0614A;SKN;Combattre Ardemment Pour La Foi Qui A Eté Transmise Aux Saints Une Fois Pour Toutes;1;1;Matthieu 10:0;
53-0729;SKN;Questions Et Réponses Sur La Genèse;37;19;Actes 19:0 | Apocalypse 11:0 | Ephesiens 1:0 | Ephesiens 4:30 | Esaie 28:0 | Galates 1:8 | Genese 1:0 | Genese 1:26 | Genese 2:0 | Genese 2:18-21 | Genese 2:7 | Hebreux 4:0 | Hebreux 9:0 | Jean 17:17 | Jean 1:0 | Jean 5:7 | Matthieu 10:0 | Matthieu 24:0 | Matthieu 24:29;Genese 1:26 | Genese 2:7
53-0729;VGR;Questions et réponses sur la Genèse;58;42;Actes 19:0 | Apocalypse 11:0 | Ephesiens 1:0 | Ephesiens 4:30 | Esaie 28:0 | Galates 1:8 | Genese 11:0 | Genese 13:0 | Genese 15:0 | Genese 17:0 | Genese 19:0 | Genese 1:0 | Genese 1:26 | Genese 21:0 | Genese 23:0 | Genese 25:0 | Genese 29:0 | Genese 2:0 | Genese 2:18-21 | Genese 2:7 | Genese 31:0 | Genese 33:0 | Genese 35:0 | Genese 37:0 | Genese 39:0 | Genese 3:0 | Genese 41:0 | Genese 43:0 | Genese 45:0 | Genese 5:0 | Genese 7:0 | Genese 9:0 | Hebreux 4:0 | Hebreux 9:0 | Jacques 5:14 | Jean 17:17 | Jean 1:0 | Jean 5:7 | Matthieu 10:0 | Matthieu 24:0 | Matthieu 24:29 | Zacharie 4:0;Genese 1:26 | Genese 2:7
53-0800;SKN;Le Prophète du  20e Siècle;1;1;Joel 2:28;
53-0829;SKN;Le Témoignage De Jésus-Christ;2;2;Jean 4:0 | Marc 11:24;
53-0902;SKN;Le Témoignage;1;1;Matthieu 10:0;
53-0903;SKN;L’Expectative;2;2;Jean 5:0 | Jean 5:19;
53-0905;SKN;La Foi Sans Les Oeuvres Est Morte;1;1;Jean 5:19;
53-0906A;SKN;Crois-Tu Cela?;1;1;Ephesiens 4:30;
53-0906E;SKN;Jésus-Christ, Le Vivant;1;1;Matthieu 10:0;
53-0907A;SKN;Seigneur, Montre-Nous Le Père, Et Cela Nous Suffit;6;4;Jean 14:0 | Job 14:0 | Marc 16:0 | Matthieu 11:27;
53-1104;SKN;La Profondeur Appelle La Profondeur;2;2;Actes 19:0 | Jeremie 1:4;
53-1106;SKN;Vous Croyez Maintenant?;3;3;Hebreux 13:8 | Jean 5:0 | Jean 5:19;
53-1109;SKN;Comment L’Ange Est Venu Vers Moi;4;3;Ephesiens 1:0 | Ephesiens 4:30 | Jean 19:0;Jean 5:28
53-1110;SKN;Je Restaurerai;2;2;Actes 2:24 | Romains 9:0;
53-1111;SKN;La Préparation;10;4;Hebreux 11:0 | Hebreux 3:1 | Marc 11:24 | Marc 16:0;Actes 1:8 | Actes 2:0 | Actes 2:8 | Exode 4:0
53-1112;SKN;La Démonologie;3;2;1 Jean 5:1 | Jean 7:5;Actes 2:0
53-1114;SKN;Compte Rendu Du Voyage En Afrique;4;3;1 Rois 13:0 | Genese 1:11 | Luc 11:24;
53-1115E;SKN;Un Plus Grand Témoignage;3;3;Actes 19:0 | Actes 2:24 | Jean 5:19;
53-1115M;SKN;Parle Au Rocher;2;2;Jean 3:16 | Marc 16:0;
53-1120;SKN;La Démonologie;4;3;Jean 5:0 | Jean 5:19 | Marc 16:0;
53-1121;SKN;Le Serpent D’Airain;4;3;Esaie 9:6 | Hebreux 13:8 | Jean 5:19;
53-1122;SKN;La Résurrection De Lazare;2;2;Jean 11:0 | Marc 16:0;
53-1129A;SKN;La Foi Qui A Eté Transmise Aux Saints Une Fois Pour Toutes;6;6;Actes 2:24 | Actes 2:4 | Apocalypse 1:0 | Jean 3:0 | Marc 16:0 | Marc 3:6;
53-1130;SKN;L'Eternel n'a-t-il parlé qu'à Moise ?;3;3;Jacques 5:14 | Jean 3:16 | Marc 16:0;
53-1201;SKN;La Voie À Laquelle Dieu A Pourvue;1;0;;Actes 19:0
53-1204;SKN;Sur Ta Parole;2;2;Jean 4:0 | Jean 5:19;
53-1205;SKN;La Résurrection;3;3;Actes 19:0 | Ephesiens 4:30 | Galates 1:8;
53-1206E;SKN;Vous Croyez Maintenant?;5;5;Jacques 5:0 | Jean 16:27 | Jean 1:0 | Jean 5:19 | Jean 5:24;
53-1213E;SKN;Les Exploits de la Foi;1;1;Jean 5:0;
54-0103E;SKN;Questions Et Réponses #2;7;7;2 Timothee 2:16 | Esaie 4:1 | Exode 4:24 | Genese 44:49 | Jean 17:17 | Matthieu 10:0 | genese 44:8;
54-0103E;VGR;Questions et réponses #2;6;6;Esaie 4:1 | Exode 4:24 | Genese 44:49 | Jean 17:17 | Matthieu 10:0 | genese 44:10;
54-0103M;SKN;Questions Et Réponses #1;14;13;Actes 10:49 | Actes 19:0 | Actes 19:5 | Actes 2:0 | Apocalypse 11:0 | Apocalypse 1:0 | Apocalypse 6:0 | Ephesiens 4:30 | Ezechiel 9:0 | Luc 21:24 | Marc 16:0 | Matthieu 2:0 | actes 10:48;
54-0103M;VGR;Questions et réponses #1;13;13;Actes 10:49 | Actes 19:0 | Actes 19:5 | Actes 2:0 | Apocalypse 1:0 | Apocalypse 6:0 | Ephesiens 4:30 | Esaie 5:24 | Ezechiel 9:0 | Luc 21:24 | Marc 16:0 | Matthieu 2:0 | actes 10:48;
54-0216;SKN;Jaïrus Et La Guérison Divine;1;1;Actes 19:0;
54-0217;SKN;Jésus Se Tenant Sur L’autorité De La Parole;1;1;Hebreux 13:8;
54-0220;SKN;L’Expectative;4;4;Apocalypse 12:0 | Apocalypse 17:0 | Apocalypse 2:0 | Jean 5:19;
54-0221;SKN;Sur Ta Parole, Seigneur;3;3;Jean 5:24 | Marc 11:24 | Psaumes 103:3;
54-0228A;SKN;L’Expectative;2;2;Jean 5:24 | Marc 11:24;
54-0228E;SKN;Chercher Jésus;9;6;Hebreux 13:8 | Jean 14:7 | Jean 5:19 | Luc 20:0 | Marc 16:0 | Psaumes 103:3;Hebreux 3:1
54-0301;SKN;L’Ange De L’Alliance;2;2;1 Corinthiens 12:0 | Jean 5:19;
54-0302;SKN;La Résurrection de la fille de Jaïrus;4;4;Hebreux 13:8 | Hebreux 3:1 | Jean 5:19 | Matthieu 14:28;
54-0303;SKN;Les Témoins;4;4;Actes 2:38 | Ephesiens 4:30 | Jean 9:0 | Marc 11:24;
54-0304;SKN;ELIE ET ELISEE;2;2;Hebreux 11:2 | Jean 3:16;
54-0305;SKN;LA VOIE POURVUE PAR DIEU POUR TRAITER LE PECHE;2;2;Ephesiens 4:30 | Jean 5:0;
54-0306;SKN;L’ALLIANCE INCONDITIONNELLE;1;1;Jean 5:19;
54-0307E;SKN;Vous Croyez Maintenant?;2;2;Jean 5:0 | Jean 5:19;
54-0314;SKN;Pourquoi Je Prie Pour Les Malades;9;8;Esaie 40:3 | Hebreux 13:8 | Jean 5:0 | Jean 5:19 | Jean 5:24 | Jeremie 1:4 | Marc 11:24 | Marc 16:0;
54-0320;SKN;LA FOI VIENT DE CE QU’ON ENTEND;3;3;Jean 5:0 | Jean 5:19 | Psaumes 103:3;
54-0329;SKN;LA REDEMPTION PAR LA PUISSANCE (LA REDEMPTION PAR LE SANG);2;2;Jean 5:24 | Jean 6:0;
54-0329;VGR;La rédemption par la puissance;2;2;Jean 5:24 | Jean 6:0;
54-0330;SKN;La Rédemption Dans Sa Totalité, Dans La Joie;1;1;Jean 3:16;
54-0330;VGR;La rédemption dans sa totalité, dans la joie;1;1;Jean 3:16;
54-0331;SKN;La Résurrection De La Fille De Jaïrus;2;1;Hebreux 13:8;Jean 5:19
54-0401;SKN;La Préparation De Dieu;1;1;Jean 5:19;
54-0402;SKN;Aveugle Bartimée;2;2;1 Timothee 3:16 | Actes 19:0;
54-0403;SKN;La Main De l’Éternel Fut Sur Élisée;4;4;Actes 2:38 | Jean 5:19 | Luc 2:0 | Marc 16:0;
54-0404E;SKN;Dieu A Une Voie À Laquelle Il A Pourvue;3;3;Apocalypse 1:0 | Jacques 5:14 | Jean 5:19;
54-0404E;VGR;Dieu a pourvu d’un moyen;3;3;Apocalypse 1:0 | Jacques 5:14 | Jean 5:19;
54-0404M;SKN;Combattre Ardemment Pour La Foi;3;3;Hebreux 13:0 | Hebreux 13:12 | Luc 24:49;
54-0411;SKN;Ta Foi T’a Sauvé;3;2;Jean 5:19 | Jean 5:33;
54-0509;SKN;Invasion des Etats-Unis;1;1;2 Chroniques 18:12;
54-0512;SKN;LES SEPT AGES DE L'EGLISE;4;4;Apocalypse 13:0 | Apocalypse 17:15 | Genese 1:26 | Genese 2:0;
54-0512;VGR;Les Sept Âges de l’Église;4;4;Apocalypse 13:0 | Apocalypse 17:15 | Genese 1:26 | Genese 2:0;
54-0513;SKN;La Marque De La Bête;5;3;Apocalypse 12:0 | Apocalypse 17:0 | Daniel 7:0;
54-0513;VGR;La marque de la bête;5;3;Apocalypse 12:0 | Apocalypse 17:0 | Daniel 7:0;
54-0514;SKN;LE SCEAU DE DIEU;10;8;Actes 2:0 | Apocalypse 12:0 | Apocalypse 7:0 | Ephesiens 4:30 | Ezechiel 9:0 | Hebreux 12:0 | Hebreux 13:8 | Jean 17:17;
54-0514;VGR;Le Sceau de Dieu;12;10;Actes 2:0 | Apocalypse 12:0 | Apocalypse 7:0 | Ephesiens 4:30 | Ezechiel 9:0 | Hebreux 12:0 | Hebreux 13:8 | Jean 17:17 | Matthieu 10:0 | Matthieu 24:24;
54-0515;SKN;QUESTIONS ET REPONSES (SUR L’IMAGE DE LA BETE);27;21;1 Corinthiens 15:29 | Actes 10:49 | Actes 19:5 | Actes 1:0 | Actes 1:8 | Actes 2:0 | Actes 2:38 | Actes 7:48 | Apocalypse 7:0 | Ephesiens 1:13 | Ephesiens 4:30 | Galates 1:8 | Galates 1:9 | Genese 2:0 | Hebreux 13:12 | Luc 24:49 | Matthieu 28:0 | Matthieu 28:19 | Romains 5:1 | actes 10:44 | actes 10:48;
54-0515;VGR;Questions et réponses;26;20;Actes 10:49 | Actes 19:5 | Actes 1:0 | Actes 1:8 | Actes 2:0 | Actes 2:38 | Actes 7:48 | Apocalypse 7:0 | Ephesiens 1:13 | Ephesiens 4:30 | Galates 1:8 | Galates 1:9 | Genese 2:0 | Hebreux 13:12 | Luc 24:49 | Matthieu 28:0 | Matthieu 28:19 | Romains 5:1 | actes 10:44 | actes 10:48;
54-0516;SKN;Questions Et Réponses;3;3;1 Jean 5:7 | Apocalypse 12:0 | Romains 8:1;
54-0516;VGR;Questions et réponses (la loi qui possède une ombre);3;3;Apocalypse 12:0 | Jean 5:7 | Romains 8:1;
54-0620;SKN;Je Restaurerai;2;2;Ephesiens 4:30 | Galates 1:8;
54-0620E;SKN;La Guérison Divine;6;5;Hebreux 10:0 | Hebreux 6:0 | Jean 5:19 | Jeremie 1:4 | Nombres 12:6;
54-0718A;SKN;Le Grand Réveil Imminent Et L’effusion Du Saint-Esprit;2;2;Apocalypse 17:17 | Matthieu 16:1;
54-0718E;SKN;Voir Jésus;4;3;Hebreux 10:47 | Jean 5:0 | hebreux 10:12;Hebreux 13:8
54-0719A;SKN;La Voie À Laquelle Dieu A Pourvue Pour La Guérison;3;0;;Ephesiens 4:30 | Galates 1:8 | Psaumes 103:1-3
54-0719E;SKN;Dieu A Pourvu À La Guérison Pour Cette Génération;2;2;2 Corinthiens 5:17 | Jean 5:19;
54-0720A;SKN;Le Fou De Gadara;3;2;Esaie 28:18 | Marc 11:0;Jean 14:0
54-0720E;SKN;C’est Moi, N’ayez Pas Peur!;1;1;Jean 5:19;
54-0723;SKN;LE PROPHETE ELISEE;1;1;Jean 5:19;
54-0724;SKN;Une Expérience Personnelle Avec Dieu;3;0;;Actes 1:8 | Hebreux 13:8 | Luc 24:49
54-0809A;SKN;JE RESTAURERAI;3;3;Actes 2:0 | Ephesiens 4:30 | Genese 1:0;
54-0809E;SKN;LA MANIFESTATION DE TA RESURRECTION AUX GENS D'AUJOURD'HUI;4;3;Hebreux 13:8 | Jean 5:19 | Marc 11:24;Jean 5:19
54-0811;SKN;Montre-Nous Le Père;2;2;Apocalypse 1:0 | Matthieu 27:0;
54-0813;SKN;Jésus-Christ Est Le Même Hier, Aujourd’hui, Et Éternellement;1;1;Hebreux 3:0;
54-0824;SKN;Jésus-Christ Est Le Même Hier, Aujourd’hui Et Eternellement;2;1;Jean 5:19;Hebreux 13:8
54-0825;SKN;Nous L'avons Trouvé (Jésus-Christ, Le Même Hier, Aujourdhui Et Éternellement);1;1;Jean 5:19;
54-0829A;SKN;Je Vous Restaurerai, Dit L’Éternel;3;1;Matthieu 16:0;1 Corinthiens 13:0 | Joel 1:0
54-0829E;SKN;Jésus-Christ Est Le Même Hier, Aujourd’hui Et Éternellement;1;1;Jean 5:19;
54-0900;SKN;Ayez Foi En Dieu;3;2;Jean 5:0 | Jean 5:19;Hebreux 11:2
54-1003E;SKN;L'Année De Jubilé;3;3;Apocalypse 13:0 | Ephesiens 4:30 | Romains 5:1;
54-1003M;SKN;La Parole Faite Chair;2;2;Jean 12:0 | Romains 8:1;
54-1003M;VGR;La Parole s’est faite chair (compte rendu du voyage en Inde);2;2;Jean 12:0 | Romains 8:1;
54-1024;SKN;Le Péché Impardonnable;4;4;Actes 2:0 | Ephesiens 4:30 | Genese 3:0 | Romains 8:1;
54-1024;VGR;Le péché impardonnable;4;4;Actes 2:0 | Ephesiens 4:30 | Genese 3:0 | Romains 8:1;
54-1114;SKN;La Rédemption Par Le Jugement;5;3;Hebreux 10:0 | Jean 3:0 | Nombres 21:0;Jean 3:0 | Psaumes 70:0
54-1114;VGR;La rédemption par le jugement;5;4;Hebreux 10:0 | Jean 3:0 | Nombres 21:0 | Psaumes 70:0;
54-1203;SKN;La Loi Qui Possède Une Ombre;2;2;Jean 5:24 | Psaumes 23:0;
54-1204;SKN;Dieu amène son église à la perfection;3;3;Ephesiens 4:30 | Jean 3:0 | Matthieu 27:0;
54-1205;SKN;Nous Voudrions Voir Jésus;3;0;;1 Corinthiens 13:0 | Hebreux 13:8 | Jean 5:0
54-1207;SKN;Sur Ta Parole, Seigneur, Je Jetterai Le Filet;6;4;Hebreux 13:1 | Hebreux 13:8 | Hebreux 4:14 | Jean 5:19;Actes 19:0
54-1212;SKN;Il Jura Par Lui-Même;4;4;Apocalypse 1:0 | Exode 19:0 | Jean 3:0 | Marc 16:0;
54-1212;VGR;Il jura par Lui-même;4;4;Apocalypse 1:0 | Exode 19:0 | Jean 3:0 | Marc 16:0;
54-1219E;SKN;Les Actes Du Saint-Esprit;3;3;1 Corinthiens 12:0 | Actes 2:38 | Jean 5:0;
54-1219E;VGR;Les actes du Saint-Esprit;3;3;Actes 2:38 | Jean 5:0 | Romains 8:1;
54-1219M;VGR;La guérison Divine;3;2;Hebreux 13:8 | Marc 16:0;
54-1219M;SKN;La Guérison Divine;2;1;Marc 16:0;
54-1231;SKN;La Vie Eternelle Et Comment La Recevoir;3;3;Actes 2:0 | Actes 2:38 | Jean 5:24;
55-0109E;SKN;Le Début Et La Fin De La Dispensation Des Gentils;3;2;Apocalypse 15:16 | apocalypse 15:1;Daniel 12:0
55-0109M;SKN;Melchisédek, le grand prince et roi;2;2;Hebreux 11:0 | Hebreux 12:1;
55-0109M;VGR;Melchisédek, le grand Prince et Roi;2;2;Hebreux 11:0 | Hebreux 12:1;
55-0113;SKN;LE FONDEMENT FONDAMENTAL POUR LA FOI;7;6;Hebreux 13:8 | Jean 14:12 | Jean 15:0 | Jean 5:19 | Matthieu 19:18 | Matthieu 28:18;Jean 14:12
55-0115;SKN;La Loi;6;6;Hebreux 10:14 | Hebreux 10:40 | Hebreux 3:0 | Jean 3:0 | Psaumes 23:0 | hebreux 10:26;
55-0116A;SKN;Notre position en Christ;2;2;Genese 1:0 | Jean 14:0;
55-0116E;SKN;Jésus-Christ Est Le Même Hier, Aujourd'hui Et Eternellement;3;2;Jean 5:19 | Marc 16:0;
55-0117;SKN;Comment L’ange Vint Vers Moi, Et Sa Commission;4;4;Actes 10:49 | Actes 2:38 | Actes 2:4 | actes 10:48;
55-0117;VGR;Comment l’Ange est venu à moi, et Sa commission;4;4;Actes 10:49 | Actes 2:38 | Actes 2:4 | actes 10:48;
