ref;traduction;code;paragraphe;statut;raison
1 Corinthiens 12:0;SKN;54-1219E;78;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
1 Corinthiens 12:0;SKN;56-0223;17;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Exode 19:0;SKN;56-0223;65;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Romains 8:0;SKN;56-0223;16;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
1 Corinthiens 12:0;SKN;57-0908M;113;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
1 Corinthiens 12:0;SKN;57-0908M;117;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 5:0;SKN;57-1002;548;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 11:0;SKN;57-1002;354;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 11:0;SKN;57-1002;548;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 21:0;SKN;57-1002;548;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Esther 6:0;SKN;57-1002;354;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Genese 38:0;SKN;57-1002;354;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Matthieu 24:0;SKN;57-1002;516;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Matthieu 24:0;SKN;57-1002;517;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Psaumes 16:0;SKN;57-1002;376;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Jean 4:0;SKN;58-0207;68;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Jean 1:0;SKN;58-0223;45;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Jean 4:0;SKN;59-0422;60;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
1 Corinthiens 13:0;SKN;59-0823;112;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
1 Corinthiens 12:0;SKN;59-1125;48;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 11:0;SKN;59-1216;93;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Hebreux 11:0;SKN;60-0911E;61;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Jean 14:0;SKN;60-0911E;90;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Actes 4:0;SKN;61-0414;31;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Matthieu 12:0;SKN;61-0414;6;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
1 Corinthiens 12:0;SKN;62-1014M;266;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
1 Corinthiens 12:0;SKN;62-1104M;153;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
1 Timothee 3:0;SKN;62-1104M;167;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 3:0;SKN;62-1104M;174;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Hebreux 11:0;SKN;62-1104M;79;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Jean 14:0;SKN;62-1104M;157;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
1 Corinthiens 12:0;SKN;63-0728;180;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 7:0;SKN;63-0728;228;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 17:0;SKN;63-0728;560;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Esther 2:0;SKN;63-0728;637;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Hebreux 11:0;SKN;63-0728;626;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;63-0728;330;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;63-0728;574;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;63-0728;577;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Marc 16:0;SKN;63-0728;536;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
1 Corinthiens 12:0;SKN;63-0901M;217;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
1 Corinthiens 12:0;SKN;63-0901M;262;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Hebreux 13:0;SKN;63-0901M;322;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
1 Corinthiens 12:0;SKN;63-1128E;177;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Esaie 35:0;SKN;63-1128E;26;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Hebreux 13:0;SKN;64-0208;106;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;64-0208;187;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
1 Corinthiens 12:0;SKN;64-0614M;242;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
1 Corinthiens 12:0;SKN;64-0614M;287;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 10:0;SKN;64-0614M;336;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 10:0;SKN;64-0614M;341;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 10:0;SKN;64-0614M;342;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 22:0;SKN;64-0614M;62;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Exode 19:0;SKN;64-0614M;129;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Genese 1:0;SKN;64-0614M;62;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Jean 1:0;SKN;64-0614M;83;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;64-0614M;73;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;64-0614M;302;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;64-0614M;322;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Marc 16:0;SKN;64-0614M;181;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Matthieu 28:0;SKN;64-0614M;302;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Jean 1:0;SKN;59-1217;54;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Esther 2:0;SKN;57-0915E;194;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
1 Corinthiens 13:0;SKN;61-0217;45;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Genese 14:0;SKN;61-0217;15;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
1 Corinthiens 13:0;SKN;65-1127B;247;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 10:0;SKN;65-1127B;322;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Deuteronome 4:0;SKN;65-1127B;322;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;65-1127B;301;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;65-1127B;322;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Matthieu 11:0;SKN;65-1127B;211;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Psaumes 22:0;SKN;65-1127B;315;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Romains 8:0;SKN;65-1127B;139;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
1 Corinthiens 15:0;SKN;60-0417M;165;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Matthieu 28:0;SKN;54-0515;277;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Ephesiens 6:0;SKN;60-0709;46;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Deuteronome 1:0;SKN;59-1223;175;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Hebreux 4:0;SKN;59-1223;173;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;65-1125;180;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;65-1125;236;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Romains 7:0;SKN;65-1125;117;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
1 Jean 3:0;SKN;59-0810;4;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Jean 14:0;SKN;59-0810;42;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Marc 16:0;SKN;63-0825E;106;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Marc 16:0;SKN;63-0825E;153;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
1 Jean 4:0;SKN;50-0714;26;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
1 Jean 4:0;SKN;57-0908E;358;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Jean 4:0;SKN;57-0908E;358;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Jean 1:0;SKN;65-0801M;71;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Jean 1:0;SKN;65-0801M;88;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;65-0801M;36;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;65-0801M;104;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;65-0801M;174;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Jean 3:0;SKN;59-0628E;129;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Romains 8:0;SKN;59-0628E;119;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Hebreux 13:0;SKN;57-0901E;20;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Matthieu 20:0;SKN;57-0901E;152;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Matthieu 28:0;SKN;57-0901E;157;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Romains 5:0;SKN;60-0611B;31;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Romains 8:0;SKN;60-0611B;31;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Actes 19:0;SKN;61-0312;13;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Genese 12:0;SKN;61-0312;37;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Genese 15:0;SKN;61-0312;60;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Actes 4:0;SKN;63-0116;315;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
2 Timothee 3:0;SKN;63-0320;197;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Actes 2:0;SKN;63-0320;309;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Jean 1:0;SKN;63-0320;98;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;63-0320;162;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;63-0320;242;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 3:0;SKN;64-0705;148;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Jean 12:0;SKN;64-0705;128;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Jean 14:0;SKN;64-0705;68;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 3:0;SKN;64-0705;110;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;64-0705;158;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;64-0705;159;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;64-0705;166;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
1 Pierre 1:0;SKN;62-1111E;212;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
2 Timothee 3:0;SKN;62-1111E;196;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 18:0;SKN;62-1111E;181;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Matthieu 28:0;SKN;61-0611;78;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Genese 2:0;SKN;60-0515E;100;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 11:0;SKN;57-1006;624;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 11:0;SKN;57-1006;710;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 11:0;SKN;57-1006;712;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 11:0;SKN;57-1006;716;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Esther 2:0;SKN;57-1006;615;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Psaumes 23:0;SKN;57-1006;833;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Daniel 12:0;SKN;62-0311;119;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Matthieu 24:0;SKN;62-0311;119;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
1 Rois 13:0;SKN;53-1114;33;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Jean 4:0;SKN;59-0412E;58;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Hebreux 6:0;SKN;59-1219;203;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Jean 14:0;SKN;59-1219;45;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Jean 1:0;SKN;65-0410;42;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 22:0;SKN;64-0816;160;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Hebreux 6:0;SKN;64-0816;128;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;64-0816;221;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
1 Timothee 3:0;SKN;56-0120;65;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
1 Timothee 3:0;SKN;60-0710;68;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Actes 19:0;SKN;54-0402;2;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Jean 4:0;SKN;62-0712;95;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 17:0;SKN;64-0401;110;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Jean 4:0;SKN;64-0401;242;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Jean 6:0;SKN;64-0401;169;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Esaie 62:0;VGR;64-0112;29;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Psaumes 60:0;VGR;64-0112;29;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Psaumes 62:0;VGR;64-0112;144;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
2 Chroniques 22:0;SKN;63-1128M;134;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Psaumes 23:0;SKN;63-1128M;5;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Esaie 50:0;SKN;62-1124E;56;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 21:0;SKN;64-0802;52;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 21:0;SKN;64-0802;172;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Hebreux 4:0;SKN;64-0802;133;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Hebreux 11:0;SKN;64-0802;311;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Jean 14:0;SKN;64-0802;56;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Jean 14:0;SKN;64-0802;270;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 10:0;SKN;63-0321;378;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 19:0;SKN;63-0321;377;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;63-0321;126;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;63-0321;378;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Amos 3:0;SKN;63-0319;331;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Matthieu 4:0;SKN;63-0319;280;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 3:0;SKN;63-0318;209;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;63-0318;206;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;63-0318;209;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;63-0318;214;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Matthieu 10:0;SKN;63-0318;113;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
2 Timothee 4:0;SKN;62-0908;145;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Matthieu 10:0;SKN;54-0103E;56;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 11:0;SKN;61-0117;74;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 17:0;SKN;61-0117;74;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Hebreux 6:0;SKN;61-0117;57;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 12:0;SKN;62-0401;366;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Hebreux 2:0;SKN;62-0401;332;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Hebreux 11:0;SKN;62-0401;206;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Jean 14:0;SKN;62-0401;258;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 13:0;SKN;63-0412M;200;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 17:0;SKN;63-0412M;200;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
2 Timothee 3:0;SKN;63-0707M;325;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 17:0;SKN;63-0707M;55;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Hebreux 10:0;SKN;63-0707M;247;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Jean 1:0;SKN;63-0707M;232;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Matthieu 10:0;SKN;63-1115;109;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
2 Timothee 3:0;SKN;63-1201E;58;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 3:0;SKN;63-1201E;53;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 17:0;SKN;63-1201E;49;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
2 Timothee 3:0;SKN;64-0726M;163;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 3:0;SKN;64-0726M;57;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 11:0;SKN;64-0726M;67;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;64-0726M;119;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;64-0726M;120;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;64-0726M;121;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
2 Timothee 4:0;SKN;64-0830E;122;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 10:0;SKN;64-0830E;153;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 12:0;SKN;64-0830E;132;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Job 14:0;SKN;64-0830E;87;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 3:0;SKN;64-0830E;158;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;64-0830E;76;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;64-0830E;77;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;64-0830E;154;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;64-0830E;156;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Malachie 4:0;SKN;64-0830E;158;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Marc 16:0;SKN;64-0830E;121;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Marc 16:0;SKN;64-0830E;139;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Actes 1:0;VGR;54-0515;101;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Matthieu 28:0;VGR;54-0515;277;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Hebreux 6:0;VGR;59-1219;203;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Jean 3:0;VGR;59-1219;29;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Jean 14:0;VGR;59-1219;45;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Ephesiens 4:0;VGR;60-0911E;180;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Hebreux 11:0;VGR;60-0911E;61;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Jean 4:0;SKN;57-0115;90;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Deuteronome 33:0;SKN;57-0725;2;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Genese 6:0;SKN;62-0607;36;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Genese 6:0;SKN;62-0607;44;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 13:0;SKN;62-1007;34;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Apocalypse 13:0;VGR;62-1007;34;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Ezechiel 9:0;SKN;54-0514;164;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Genese 3:0;SKN;54-1024;124;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Actes 2:0;SKN;54-1231;68;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Jean 1:0;SKN;55-0625;21;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
Jean 3:0;SKN;55-1008;73;CHAPITRE-SANS-VERSET;aucun verset identifiable (verset par verset exigé)
