annonce;dit_en_realite;traduction;code;paragraphe;preuve
Joel 2:38;actes 2:38;VGR;63-0320;197;v3
Actes 10:49;actes 10:44;VGR;63-0608;237;v3
Joel 2:38;actes 2:38;VGR;63-0707;164;v3
Joel 2:38;actes 2:38;VGR;63-0707M;164;v3
Actes 10:49;actes 10:48;SKN;55-0117;88;v3
Actes 10:49;actes 10:48;VGR;55-0117;88;v3
Actes 10:49;actes 10:48;SKN;57-0825E;150;v3
Jean 14:12;Luc 10:1;SKN;61-0108;344;v3
Luc 11:29;Luc 10:1;SKN;61-0108;346;v3
Marc 11:21;Luc 10:1;SKN;61-0108;345;v3
Matthieu 10:1;Esaie 9:6;SKN;61-0108;343;v3
Matthieu 10:1;Jean 14:12;SKN;61-0108;355;v3
Actes 10:49;actes 10:44;SKN;61-0425B;251;v3
Apocalypse 2:9;Matthieu 16:9;SKN;61-1015M;196;v3
Esaie 54:53;esaie 54:1;SKN;62-0318E;1;v3
Joel 2:38;actes 2:38;SKN;65-0219;124;v3
Actes 10:49;actes 10:48;VGR;57-0825E;208;v3
Psaumes 8:46;psaumes 8:4;VGR;57-0825E;119;v3
Jean 14:12;Luc 10:1;VGR;61-0108;337;v3
Luc 11:29;Luc 10:1;VGR;61-0108;338;v3
Matthieu 10:1;Actes 2:38;VGR;61-0108;336;v3
Matthieu 10:1;Jean 14:12;VGR;61-0108;347;v3
Actes 10:49;actes 10:44;VGR;61-0425B;252;v3
Apocalypse 2:99;apocalypse 2:1;VGR;61-1015M;196;v3
Esaie 54:53;esaie 54:1;VGR;62-0318M;403;v3
Actes 10:49;actes 10:44;VGR;62-1014M;214;v3
Joel 2:28;Luc 24:49;VGR;63-0321;73;v3
Joel 2:38;actes 2:38;VGR;65-0219;124;v3
Jean 2:15;Actes 2:38;VGR;65-1125;174;v3
Joel 2:38;actes 2:38;VGR;65-1125;202;v3
Actes 10:49;actes 10:44;SKN;62-0704;122;v3
Actes 10:49;actes 10:48;SKN;62-0724;65;v3
Apocalypse 20:27;apocalypse 20:12;SKN;64-0830M;207;v3
Zacharie 4:121;zacharie 4:12;SKN;64-0830M;190;v3
Apocalypse 20:27;apocalypse 20:5;VGR;64-0830M;235;v3
Actes 19:58;actes 19:4;SKN;59-0329M;57;v3
Actes 10:49;actes 10:44;SKN;53-0327;42;v3
Actes 10:49;actes 10:48;SKN;58-0323;47;v3
Actes 10:49;actes 10:44;SKN;58-0612;19;v3
Actes 10:49;actes 10:44;SKN;61-0224;45;v3
Actes 10:49;actes 10:48;SKN;63-0604;90;v3
Actes 10:49;actes 10:44;SKN;64-1212;171;v3
Actes 10:49;actes 10:44;SKN;65-0418M;177;v3
Actes 10:49;actes 10:44;VGR;65-0418M;177;v3
Actes 10:49;actes 10:44;VGR;65-0801M;199;v3
Ephesiens 4:40;ephesiens 4:30;SKN;59-0415A;66;v3
Levitique 23:26;Luc 17:30;VGR;64-0719M;247;v3
Zacharie 13:7;Esaie 7:14;SKN;65-1206;282;v3
Joel 2:38;actes 2:38;VGR;65-0718E;126;v3
Joel 2:38;actes 2:38;VGR;65-1127B;217;v3
Zacharie 13:7;Esaie 7:14;VGR;65-1206;282;v3
Zacharie 4:104;zacharie 4:10;SKN;63-0317E;236;v3
Genese 4:6;Hebreux 10:26;SKN;65-1031M;252;v3
Psaumes 99:99;psaumes 99:4;VGR;61-0730M;23;v3
Genese 4:6;Hebreux 10:26;VGR;65-1031M;252;v3
Luc 22:17;Apocalypse 22:18;SKN;65-0117;70;v3
Romains 5:24;romains 5:11;SKN;65-0218;65;v3
Exode 33:2;Hebreux 7:2;SKN;65-0221E;98;v3
Exode 33:2;Hebreux 7:2;VGR;65-0221E;98;v3
Apocalypse 15:16;apocalypse 15:1;SKN;55-0109E;142;v3
Psaumes 103:23;psaumes 103:22;SKN;61-0516A;15;v3
Deuteronome 18:35;deuteronome 18:15;SKN;61-0519;35;v3
Job 7:37;job 7:20;SKN;53-0325;31;v3
Job 7:27;job 7:17;SKN;60-0522E;177;v3
Job 7:27;job 7:17;VGR;60-0522E;177;v3
Genese 44:49;genese 44:10;VGR;54-0103E;165;v3
Exode 13:31;exode 13:21;SKN;63-0801;130;v3
Matthieu 28:28;matthieu 28:20;SKN;63-1103;187;v3
Matthieu 28:28;matthieu 28:7;VGR;63-1103;187;v3
Hebreux 10:40;hebreux 10:26;SKN;55-0115;26;v3
Hebreux 10:47;hebreux 10:12;SKN;54-0718E;40;v3
Joel 2:38;actes 2:38;SKN;65-0718E;126;v3
Job 7:27;job 7:16;SKN;51-0415A;72;v3
Job 7:27;job 7:4;SKN;60-0804;24;v3
Marc 7:7;Actes 20:24;SKN;65-0718M;27;4 mots rares: cas rendre service tiens
Luc 24:29;Actes 2:38;SKN;60-0911E;118;5 mots rares: baptise don peches recevrez remission
Jean 14:7;1 Timothee 3:16;SKN;61-0414;68;8 mots rares: chair contredit cru eleve manifeste mystere nations piete
Hebreux 13:10;Apocalypse 19:21;SKN;63-1128E;149;4 mots rares: chair furent fut tue
Jeremie 1:4;Ephesiens 1:5;SKN;57-0915E;128;5 mots rares: ayant plaisir predestines selon volonte
Esaie 28:8-12;Matthieu 24:24;SKN;61-0217;62;4 mots rares: grands possible prodiges signes
Jean 17:17;Daniel 7:9;SKN;61-0217;63;5 mots rares: blanc cheveux furent laine lancien
Apocalypse 3:14;Matthieu 5:28;SKN;65-0801M;46;4 mots rares: adultere commis convoiter quiconque
Genese 3:8;Genese 4:1;SKN;59-0628E;174;5 mots rares: cain concut connut enfanta eve
Jean 17:17;Matthieu 10:1;SKN;59-0628E;44;4 mots rares: chasser donna esprits guerir
Romains 4:8;Matthieu 19:9;SKN;59-0628E;184;5 mots rares: adultere commet epouse fornication quiconque
Malachie 4:0;Apocalypse 10:7;SKN;63-0320;177;5 mots rares: ange mystere septieme termine trompette
Luc 11:24;Genese 1:11;SKN;53-1114;70;4 mots rares: espece fruit selon semence
Matthieu 24:24;Apocalypse 17:8;SKN;64-0816;212;4 mots rares: bete ecrits fondation noms
Matthieu 11:6;Matthieu 24:24;SKN;62-0712;58;5 mots rares: faux maniere prodiges prophetes signes
Marc 11:22;Genese 22:14;SKN;63-1128M;64;5 mots rares: jehovah jire leternel montagne pourvu
Apocalypse 10:1-7;Apocalypse 10:7;SKN;63-0321;46;4 mots rares: ange mystere septieme voix
Apocalypse 10:1;Apocalypse 10:7;SKN;63-0318;68;5 mots rares: ange mystere septieme termine trompette
Apocalypse 10:1-7;Apocalypse 10:7;SKN;63-0318;68;5 mots rares: ange mystere septieme termine trompette
Matthieu 11:6;1 Timothee 3:16;SKN;62-0603;30;8 mots rares: anges chair cru eleve manifeste nations piete preche
Actes 2:8;Actes 1:8;SKN;53-1111;14;6 mots rares: jerusalem judee recevrez samarie serez temoins
Hebreux 11:1;Joel 2:28;SKN;57-0925;168;5 mots rares: arrivera chair filles prophetiseront repandrai
Genese 1:26;Genese 1:11;SKN;61-0210;105;4 mots rares: espece portant selon semence
Genese 3:8;Genese 3:1;VGR;57-0925;217;5 mots rares: animal champs jardin ruse serpent
Hebreux 11:1;Joel 2:28;VGR;57-0925;168;4 mots rares: chair filles prophetiseront repandrai
Hebreux 10:26;Ephesiens 4:30;VGR;59-1223;173;4 mots rares: lequel nattristez redemption scelles
Hebreux 13:8;Jean 14:12;VGR;63-0123;293;4 mots rares: croit grandes men uvres
Actes 2:38;Hebreux 6:1;SKN;61-0112;237;4 mots rares: fondement mortes posant repentance
Actes 2:38;Hebreux 6:1;VGR;61-0112;237;5 mots rares: fondement mortes posant repentance uvres
Luc 17:30;Joel 2:28;SKN;65-1126;292;5 mots rares: arrivera jeunes songes vieillards visions
Actes 2:30;Actes 2:38;SKN;52-0810A;30;5 mots rares: baptise don peches recevrez repentez
Jean 14:7;Matthieu 16:18;SKN;60-1204M;149;4 mots rares: batirai portes prevaudront roc
Jean 14:7;Jean 14:12;VGR;60-1204M;146;4 mots rares: celles croit grandes uvres
Esther 14:0;Ezechiel 28:12;SKN;62-0318E;1;9 mots rares: accomplie dhomme etais forme leternel perfection plein roi
Esther 16:0;Ezechiel 28:12;SKN;62-0318E;1;9 mots rares: accomplie dhomme etais forme leternel perfection plein roi
Jude 8:0;Ezechiel 28:12;SKN;62-0318E;1;9 mots rares: accomplie dhomme etais forme leternel perfection plein roi
Job 136:0;Apocalypse 19:11;SKN;63-0421;116;7 mots rares: appele cheval combat fidele juge veritable vis
Jean 12:14;Ephesiens 4:30;SKN;63-1127;202;4 mots rares: lequel nattristez redemption scelles
Apocalypse 2:5;Apocalypse 20:4;VGR;61-0108;195;4 mots rares: bete image navaient vis
Luc 10:1;Marc 11:23;VGR;61-0108;361;4 mots rares: jette mer montagne ote
Jude 8:0;Ezechiel 28:12;VGR;62-0318M;403;10 mots rares: accomplie dhomme eleve etais forme leternel perfection plein
Apocalypse 10:1;Apocalypse 10:7;VGR;63-0318;68;5 mots rares: ange mystere septieme termine trompette
Apocalypse 10:1-7;Apocalypse 10:7;VGR;63-0321;46;4 mots rares: ange mystere septieme voix
Jean 14:7;Hebreux 4:12;SKN;61-0409;26;4 mots rares: discerne epee penetrante tranchants
Esaie 6:9;Malachie 3:1;SKN;61-0205M;48;4 mots rares: chemin lange temple viendra
Esaie 9:6;Matthieu 1:18;VGR;62-0601;223;5 mots rares: enceinte joseph marie naissance soient
Apocalypse 3:7;Apocalypse 1:1;SKN;60-1210;17;4 mots rares: ange donnee montrer revelation
Ephesiens 3:15;Matthieu 1:18;SKN;60-1210;139;10 mots rares: arriva enceinte ensemble etant fiancee joseph marie naissance
Esther 10:0;Matthieu 11:10;SKN;62-0724;92;4 mots rares: chemin ecrit lequel messager
Jean 12:20;Jean 5:39;SKN;62-0724;48;4 mots rares: eternelle rendent sondez temoignage
Hebreux 10:5;Joel 2:28;SKN;62-1111M;36;10 mots rares: arrivera chair filles jeunes prophetiseront repandrai songes verront
Marc 16:1;Romains 8:11;VGR;65-0418M;19;5 mots rares: dentre habite mortels ressuscite vivifiera
Apocalypse 3:14;Matthieu 5:28;VGR;65-0801M;46;4 mots rares: adultere commis convoiter quiconque
Malachie 4:0;Matthieu 24:24;VGR;65-0801M;36;8 mots rares: faux maniere possible prodiges prophetes seduire selevera signes
Daniel 105:0;Ezechiel 28:12;VGR;61-0806;109;4 mots rares: dhomme forme plein roi
Daniel 111:0;Apocalypse 10:7;VGR;61-0806;136;4 mots rares: annonce nouvelle quaux termine
Daniel 129:0;Apocalypse 17:3;VGR;61-0806;214;4 mots rares: assise bete sept tetes
Daniel 131:0;Matthieu 24:24;VGR;61-0806;221;5 mots rares: faux grands prodiges prophetes signes
Hebreux 8:13;Jean 14:12;SKN;51-0727;23;4 mots rares: celles grandes men uvres
Hebreux 11:2;Exode 13:21;SKN;53-0604;10;4 mots rares: allait chemin colonne nuit
Genese 1:26;Genese 2:7;SKN;53-0729;9;4 mots rares: forma narines poussiere souffla
Hebreux 13:1;Hebreux 4:14;SKN;54-1207;47;4 mots rares: confession sacrificateur souverain traverse
Luc 24:49;Joel 2:28;SKN;63-0803B;186;8 mots rares: chair filles jeunes prophetiseront repandrai songes vieillards visions
Esaie 18:1;Apocalypse 10:7;SKN;64-0719M;207;5 mots rares: ange nouvelle prophetes septieme trompette
Esaie 27:12;Apocalypse 10:7;SKN;64-0719M;208;5 mots rares: ange nouvelle prophetes septieme trompette
Hebreux 13:8;Hebreux 1:1;SKN;64-0719M;62;5 mots rares: manieres peres plusieurs prophetes reprises
Apocalypse 10:1;Apocalypse 10:7;SKN;65-0725M;260;4 mots rares: ange prophetes septieme voix
Ephesiens 5:1;Matthieu 24:24;SKN;65-0725M;166;6 mots rares: christs faux possible prodiges prophetes seduire
Matthieu 5:24;Hebreux 6:4;SKN;65-0725M;32;6 mots rares: celeste don eclaires goute impossible participants
Matthieu 24:24;Jean 5:39;SKN;65-0725M;49;4 mots rares: eternelle rendent sondez temoignage
Matthieu 24:24;Apocalypse 10:7;SKN;65-0725M;262;4 mots rares: ange prophetes septieme voix
Luc 24:49;Joel 2:28;VGR;63-0803B;186;8 mots rares: chair filles jeunes prophetiseront repandrai songes vieillards visions
Esaie 18:1;Apocalypse 10:7;VGR;64-0719M;283;5 mots rares: ange nouvelle prophetes septieme trompette
Esaie 27:12;Apocalypse 10:7;VGR;64-0719M;283;5 mots rares: ange nouvelle prophetes septieme trompette
Matthieu 28:19;Actes 2:38;SKN;58-0928M;128;5 mots rares: baptise don peches recevrez repentez
Jean 14:7;Actes 2:38;SKN;61-0415E;75;5 mots rares: baptise don peches recevrez repentez
Actes 19:19;1 Timothee 3:16;SKN;61-0426;63;4 mots rares: chair cru manifeste preche
Apocalypse 10:1-7;Apocalypse 10:7;VGR;63-0319;76;5 mots rares: ange mystere prophetes septieme trompette
Jean 5:7;Matthieu 27:51;SKN;65-1204;166;6 mots rares: dechira fendirent rochers temple trembla voile
Luc 17:30;Esaie 53:5;VGR;65-1127E;175;5 mots rares: blesse gueris iniquites meurtrissures transgressions
Jean 5:7;Matthieu 27:51;VGR;65-1204;166;7 mots rares: dechira fendirent jusquen rochers temple trembla voile
Matthieu 24:22;Jean 12:24;VGR;65-1204;114;4 mots rares: ble grain meure meurt
Hebreux 13:8;Genese 15:16;SKN;63-1110M;309;4 mots rares: amoreens comble generation quatrieme
Apocalypse 10:1;Matthieu 24:24;SKN;65-0725E;148;8 mots rares: christs faux grands possible prodiges prophetes seduire signes
Hebreux 13:8;Genese 15:16;VGR;63-1110M;309;5 mots rares: amoreens comble generation liniquite quatrieme
Esaie 53:1;Esaie 53:5;SKN;65-0822M;124;6 mots rares: blesse chatiment gueris meurtrissures paix transgressions
Hebreux 4:12;Hebreux 1:1;SKN;65-0822M;110;4 mots rares: manieres plusieurs prophetes reprises
Esaie 53:1;Esaie 53:5;VGR;65-0822M;124;6 mots rares: blesse chatiment gueris meurtrissures paix transgressions
Hebreux 4:12;Hebreux 1:1;VGR;65-0822M;110;4 mots rares: manieres plusieurs prophetes reprises
Apocalypse 11:10;Apocalypse 1:20;VGR;60-1231;98;4 mots rares: dor etoiles mystere sept
Matthieu 27:51;Romains 8:11;VGR;65-0410;208;4 mots rares: dentre habite mortels ressuscite
Apocalypse 2:10;Daniel 7:9;SKN;61-0101;288;9 mots rares: blanc cheveux furent laine neige places pure trones
Apocalypse 2:10;Daniel 7:9;VGR;61-0101;282;8 mots rares: cheveux laine lancien neige places pure sassit trones
Daniel 15:0;Esaie 27:12;VGR;61-0730M;67;4 mots rares: arrivera disrael jusquau leternel
Daniel 19:0;Matthieu 24:24;VGR;61-0730M;83;4 mots rares: faux grands prodiges signes
Daniel 21:0;Matthieu 24:24;VGR;61-0730M;88;4 mots rares: faux prodiges selevera signes
Daniel 37:0;Esaie 9:6;VGR;61-0730M;162;4 mots rares: conseiller merveilleux paix prince
Daniel 39:0;Esaie 9:6;VGR;61-0730M;164;4 mots rares: conseiller merveilleux paix prince
Nombres 12:6;Hebreux 1:1;VGR;64-0313;77;5 mots rares: manieres peres plusieurs prophetes reprises
Matthieu 24:24;Esaie 14:12;VGR;65-0911;103;5 mots rares: astre brillant laurore nations tombe
Apocalypse 9:1-4;Apocalypse 19:11;SKN;60-1211M;282;4 mots rares: combat juge justice veritable
Hebreux 4:2;Apocalypse 19:11;VGR;60-1204E;214;8 mots rares: blanc cheval combat fidele juge justice veritable vis
Matthieu 25:33;Apocalypse 13:8;VGR;60-1204E;3;4 mots rares: ecrit fondation immole lagneau
Apocalypse 10:1;Apocalypse 10:7;VGR;63-0324E;386;4 mots rares: ange prophetes quaux septieme
Hebreux 13:8;Apocalypse 10:7;VGR;64-0419;29;4 mots rares: ange prophetes septieme trompette
Apocalypse 10:1;Apocalypse 10:7;VGR;65-0725M;260;4 mots rares: ange prophetes septieme voix
Ephesiens 5:1;Matthieu 24:24;VGR;65-0725M;166;7 mots rares: christs faux possible prodiges prophetes seduire selevera
Matthieu 24:24;Apocalypse 10:7;VGR;65-0725M;262;4 mots rares: ange prophetes septieme voix
Apocalypse 10:1-7;Genese 14:18;SKN;65-0221E;30;4 mots rares: fit roi sacrificateur salem
Apocalypse 10:1-7;Malachie 3:1;VGR;65-0221E;30;4 mots rares: chemin lange messager prenez
Apocalypse 13:17;Apocalypse 13:8;SKN;58-0928E;72;4 mots rares: ecrit fondation immole lagneau
Apocalypse 13:17;Apocalypse 13:8;VGR;58-0928E;72;4 mots rares: ecrit fondation immole lagneau
Jean 1:17;Ephesiens 1:5;SKN;60-0518;114;5 mots rares: ayant plaisir predestines selon volonte
Jean 1:17;Ephesiens 1:5;VGR;60-0518;114;4 mots rares: plaisir predestines selon volonte
Daniel 63:0;Daniel 12:3;VGR;61-0730E;108;8 mots rares: brilleront enseigne etoiles justice letendue multitude sages splendeur
Daniel 67:0;Esaie 27:12;VGR;61-0730E;119;6 mots rares: courant disrael fleuve jusquau leternel serez
Daniel 69:0;Genese 3:8;VGR;61-0730E;128;4 mots rares: arbres leternel milieu voix
Daniel 71:0;Apocalypse 19:11;VGR;61-0730E;131;9 mots rares: blanc cheval combat fidele juge justice ouvert veritable
Daniel 73:0;Apocalypse 19:11;VGR;61-0730E;133;9 mots rares: blanc cheval combat fidele juge justice ouvert veritable
Deuteronome 22:18;Matthieu 12:42;SKN;62-0408;63;4 mots rares: entendre jugement reine salomon
Jude 4:0;Matthieu 1:18;SKN;53-0325;31;8 mots rares: arriva ensemble etant joseph marie naissance soient trouva
Matthieu 5:28;Galates 4:27;VGR;57-0908E;247;4 mots rares: cris joie nes pousse
Luc 24:49;Actes 1:8;SKN;58-1221E;91;6 mots rares: jerusalem judee recevrez samarie serez temoins
Hebreux 9:11;Esaie 53:5;SKN;63-1028;68;4 mots rares: blesse chatiment meurtrissures paix
Hebreux 9:11;Esaie 53:5;VGR;63-1028;171;4 mots rares: blesse chatiment meurtrissures paix
Jean 12:14;Matthieu 24:24;VGR;63-1028;149;4 mots rares: maniere possible prodiges signes
Esaie 1:8;Actes 2:38;SKN;60-0806;38;6 mots rares: baptise don peches recevrez remission repentez
Esaie 9:5;Esaie 9:6;SKN;59-1126;20;4 mots rares: appellera conseiller paix prince
Esaie 9:5;Esaie 9:6;SKN;61-0121;14;4 mots rares: appellera conseiller paix prince
Esaie 28:18;Hebreux 4:12;SKN;62-0128M;36;4 mots rares: discerne epee penetrante tranchants
Marc 11:22;Genese 1:11;SKN;63-0606;51;5 mots rares: ayant espece larbre selon semence
Esther 10:0;Hebreux 4:15;SKN;63-0801;179;4 mots rares: infirmites navons sacrificateur souverain
Esther 14:0;Matthieu 24:24;SKN;47-1123;5;7 mots rares: faux grands maniere possible prodiges prophetes signes
Esther 22:0;Actes 20:24;SKN;62-0118;174;4 mots rares: precieuse rendre service temoignage
Genese 12:15;Genese 22:14;SKN;61-0226;21;5 mots rares: jehovah jire leternel montagne pourvu
Genese 22:14;Genese 1:26;SKN;61-0226;25;4 mots rares: betail image ressemblance selon
Psaumes 64:0;Genese 22:14;SKN;55-0120;18;4 mots rares: jehovah jire montagne pourvu
Hebreux 4:4;Hebreux 4:12;SKN;62-0218;162;4 mots rares: discerne epee penetrante tranchants
Marc 11:11;Josue 10:12;SKN;62-0128A;31;5 mots rares: arrete disrael gabaon josue soleil
Luc 7:27;Genese 6:4;SKN;62-0531;132;6 mots rares: eurent filles furent geants renom venus
Luc 7:27;Genese 6:4;VGR;62-0531;132;6 mots rares: eurent filles furent geants quelles venus
Jeremie 1:4;Nombres 12:6;SKN;54-0620E;46;4 mots rares: ferai paroles songe vision
Hebreux 11:1;Exode 13:21;SKN;60-0108;21;4 mots rares: allait conduire marchent nuit
Jeremie 1:4;Esaie 40:3;SKN;54-0314;19;5 mots rares: aplanissez crie desert preparez voix
Jean 14:7;Actes 2:38;SKN;57-0610;26;5 mots rares: baptise don peches recevrez repentez
Jean 14:7;Actes 2:38;SKN;60-0711;46;4 mots rares: baptise peches recevrez repentez
Jean 4:4;Apocalypse 19:21;SKN;63-1110E;42;8 mots rares: bouche chair cheval furent fut oiseaux sortait tue
Marc 11:22;Jacques 5:14;SKN;64-0405;20;4 mots rares: anciens appelle dhuile malade
Jean 4:4;Marc 11:23;VGR;63-1110E;49;5 mots rares: aura jette mer montagne ote
Jean 4:4;Marc 11:23;VGR;63-1110E;52;4 mots rares: jette mer montagne ote
Matthieu 28:20;Marc 11:23;VGR;63-1110E;49;5 mots rares: aura jette mer montagne ote
Jeremie 1:4;Ephesiens 1:5;VGR;57-0915E;128;5 mots rares: ayant plaisir predestines selon volonte
Jacques 5:14;Deuteronome 32:11;SKN;58-0500;4;5 mots rares: ailes eveille laigle plumes prend
Jeremie 1:4;Esaie 53:5;SKN;55-0611;21;6 mots rares: blesse chatiment gueris iniquites meurtrissures paix
Jeremie 1:4;Esaie 40:3;SKN;58-0518;52;4 mots rares: chemin crie desert voix
Marc 11:22;Genese 22:14;SKN;61-1210;104;4 mots rares: jehovah jire montagne pourvu
