ref;traduction;code;paragraphe;nb_mots;mots
Apocalypse 17:17;SKN;47-1102;32;2;donner soient
Apocalypse 19:11;SKN;47-1102;33;2;blanc combat
Apocalypse 20:4;SKN;47-1102;35;2;rendu temoignage
Matthieu 10:1;SKN;47-1102;43;2;guerir maladie
Hebreux 11:1;SKN;47-1102;44;3;celles espere voit
Jeremie 8:22;SKN;47-1102;44;2;fille medecin
Jean 14:9;SKN;47-1102;44;2;mas montre
Matthieu 10:1;SKN;47-1102;46;2;guerir maladie
Jean 5:7;SKN;47-1102;48;2;nai viens
Malachie 3:1;SKN;47-1102;48;2;lange viendra
Galates 1:8;SKN;47-1102;50;2;ange memes
Psaumes 103:3;SKN;47-1102;50;2;pardonne tes
Apocalypse 10:1;SKN;47-1102;50;2;ange puissant
Apocalypse 10:1-7;SKN;47-1102;50;2;ange puissant
Apocalypse 3:14;SKN;47-1102;50;2;lange temoin
Hebreux 6:4;SKN;47-1123;2;2;celeste don
Esaie 61:1;SKN;47-1123;4;2;bonnes nouvelles
Actes 2:38;SKN;47-1123;5;2;don peches
Esaie 9:6;SKN;47-1123;5;2;merveilleux paix
Genese 1:26;SKN;47-1123;5;2;animal selon
Psaumes 103:3;SKN;47-1123;5;3;guerit pardonne tes
Deuteronome 18:15;SKN;47-1123;5;2;milieu tes
Actes 1:8;SKN;47-1123;5;3;jerusalem serez venant
Actes 2:4;SKN;47-1123;5;2;langues selon
Hebreux 13:12;SKN;47-1123;5;2;hors propre
Amos 3:7;SKN;47-1123;5;2;prophetes revele
Genese 2:7;SKN;47-1123;5;2;ame poussiere
Ephesiens 1:5;SKN;47-1123;5;2;selon volonte
Hebreux 10:26;SKN;47-1123;5;2;peches sacrifice
Matthieu 16:18;SKN;47-1123;5;2;assemblee portes
Hebreux 13:10;SKN;47-1123;5;3;autel droit manger
Hebreux 6:4;SKN;47-1123;5;3;celeste devenus don
Psaumes 16:10;SKN;47-1123;5;2;ame voie
Genese 1:11;SKN;47-1123;5;2;espece selon
Genese 22:14;SKN;47-1123;5;2;jehovah pourvu
Nombres 12:6;SKN;47-1123;5;2;parlerai paroles
Apocalypse 3:14;SKN;47-1123;5;2;fidele laodicee
Esaie 14:12;SKN;47-1123;5;2;nations tombe
Apocalypse 13:14;SKN;47-1123;5;2;fut miracles
Genese 3:16;SKN;47-1123;5;3;grandes mari tes
Luc 16:16;SKN;47-1123;5;2;prophetes royaume
Esaie 32:2;SKN;47-1123;5;2;aura rocher
Ephesiens 1:13;SKN;47-1123;5;3;cru espere salut
Galates 3:16;SKN;47-1123;5;3;parlant plusieurs semences
Genese 3:8;SKN;47-1123;5;3;arbres milieu voix
Actes 15:14;SKN;47-1123;5;2;nations premierement
Ephesiens 2:12;SKN;47-1123;5;3;droit etant israel
Malachie 3:6;SKN;47-1123;5;2;change jacob
Esaie 53:5;SKN;47-1123;5;2;gueris paix
Zacharie 14:7;SKN;47-1123;5;3;aura connu nuit
Jeremie 8:22;SKN;47-1123;5;2;fille medecin
Matthieu 28:18;SKN;47-1123;5;2;autorite donnee
Daniel 7:9;SKN;47-1123;5;3;blanc cheveux vis
Apocalypse 6:6;SKN;47-1123;5;3;mesure milieu voix
Apocalypse 6:11;SKN;47-1123;5;3;blanche fut soient
Apocalypse 21:19;SKN;47-1123;5;2;precieuse troisieme
Ephesiens 1:20;SKN;47-1123;5;2;asseoir droite
Hebreux 12:24;SKN;47-1123;5;3;alliance mieux nouvelle
Marc 9:7;SKN;47-1123;5;2;vint voix
Genese 3:1;SKN;47-1123;5;2;animal serpent
Matthieu 24:19;SKN;47-1123;5;2;celles malheur
Zacharie 14:6;SKN;47-1123;5;3;arrivera aura seront
Apocalypse 22:8;SKN;47-1123;5;2;pieds rendre
Deuteronome 18:22;SKN;47-1123;5;2;parlera peur
Malachie 3:1;SKN;47-1123;5;2;chemin temple
Esaie 53:9;SKN;47-1123;5;2;bouche riche
Psaumes 22:7;SKN;47-1123;5;2;bouche voient
Zacharie 11:12;SKN;47-1123;5;2;donnez laissez
Matthieu 3:16;SKN;47-1123;5;2;aussitot descendre
Apocalypse 6:3;SKN;47-1123;5;2;animal viens
Matthieu 24:7;SKN;47-1123;5;2;aura royaume
Apocalypse 5:9;SKN;47-1123;5;3;cantique langue ouvrir
Malachie 4:5;SKN;47-1123;5;2;envoie vienne
Jean 5:14;SKN;47-1123;5;3;gueri peur temple
Joel 2:25;SKN;47-1123;5;2;annees milieu
Jean 3:21;SKN;47-1123;5;3;pratique soient uvres
Hebreux 4:15;SKN;47-1123;5;3;sacrificateur souverain tente
Genese 6:4;SKN;47-1123;5;2;filles venus
Hebreux 12:25;SKN;47-1123;5;2;garde parlait
Apocalypse 6:12;SKN;47-1123;5;2;noir vis
Jean 16:21;SKN;47-1123;5;2;heure joie
Esaie 28:11;SKN;47-1123;5;3;langue levres parlera
Luc 10:1;SKN;47-1123;5;2;devait face
Jean 3:14;SKN;47-1123;5;3;desert eleve serpent
Jean 12:14;SKN;47-1123;5;2;ecrit selon
Psaumes 16:8;SKN;47-1123;5;2;droite serai
Marc 13:27;SKN;47-1123;5;2;anges enverra
Psaumes 42:7;SKN;47-1123;5;2;tes voix
Ephesiens 1:13-14;SKN;47-1123;5;3;cru espere salut
Hebreux 4:14;SKN;47-1123;5;2;sacrificateur souverain
Genese 14:18;SKN;47-1123;5;3;apporter roi sacrificateur
Esaie 9:5;SKN;47-1123;5;3;manteau pature seront
Apocalypse 1:20;SKN;47-1123;5;3;anges droite sept
Matthieu 1:18;SKN;47-1207;2;2;ensemble soient
Apocalypse 17:17;SKN;47-1207;2;2;donner soient
Genese 2:18-21;SKN;47-1207;8;2;aide ferai
Esaie 53:12;SKN;47-1207;9;2;compte plusieurs
Esaie 40:3;SKN;47-1207;13;2;chemin route
Actes 15:14;SKN;47-1207;14;2;tirer visite
Actes 20:24;SKN;47-1207;19;2;cas temoignage
Matthieu 1:18;SKN;47-1207;22;2;etant marie
Marc 16:1;SKN;47-1207;22;2;etant marie
Ezechiel 28:12;SKN;47-1207;29;2;eleve etais
Ezechiel 28:12;SKN;47-1207;30;2;etais plein
Jean 3:14;SKN;47-1207;30;2;desert serpent
Josue 10:12;SKN;47-1207;30;2;arrete josue
Apocalypse 10:7;SKN;47-1207;31;2;termine voix
Joel 2:25;SKN;47-1207;37;2;annees milieu
Actes 20:24;SKN;47-1207;37;2;cas temoignage
Jeremie 8:22;SKN;47-1207;38;2;fille medecin
Apocalypse 20:4;SKN;47-1207;38;2;jugement temoignage
Jeremie 8:22;SKN;47-1207;41;2;fille medecin
Apocalypse 22:18;SKN;47-1207;42;2;paroles temoignage
Apocalypse 22:19;SKN;47-1207;42;2;cite paroles
Galates 4:27;SKN;47-1207;42;2;eclate ecrit
Apocalypse 5:9;SKN;47-1207;43;2;cantique chantent
Actes 20:24;SKN;47-1207;43;2;precieuse service
Hebreux 6:4;SKN;47-1207;44;2;celeste don
Matthieu 19:28;SKN;47-1207;44;2;serez trone
Apocalypse 3:21;SKN;47-1207;44;2;donnerai trone
Actes 20:24;SKN;47-1207;45;2;precieuse tiens
Hebreux 13:12;SKN;47-1207;46;2;propre souffert
Apocalypse 17:8;SKN;47-1207;46;2;habitent noms
Matthieu 10:1;SKN;47-1207;46;2;appele maladie
Apocalypse 1:1;SKN;47-1207;46;2;arriver bientot
Apocalypse 10:1;SKN;47-1207;48;2;ange pieds
Apocalypse 10:1-7;SKN;47-1207;48;2;ange pieds
Esaie 61:1;SKN;47-1207;48;2;apporter envoye
Esaie 53:12;SKN;47-1207;54;2;ame compte
Genese 1:26;SKN;47-1207;56;2;image mer
Genese 1:28;SKN;47-1207;56;2;mer vivant
Jean 3:14;SKN;47-1207;56;2;eleve serpent
Matthieu 11:10;SKN;47-1207;60;2;face lequel
Apocalypse 20:4;SKN;47-1207;62;2;rendu temoignage
Jean 5:39;SKN;47-1207;62;2;eternelle temoignage
Psaumes 103:3;SKN;47-1207;63;2;pardonne tes
Actes 20:24;SKN;47-1207;64;2;rendre temoignage
Actes 20:24;SKN;47-1207;68;2;rendre temoignage
Actes 20:24;SKN;47-1207;70;2;precieuse tiens
Hebreux 6:4;SKN;47-1207;71;2;celeste don
Esaie 40:3;SKN;47-1207;71;2;chemin voix
Esaie 61:1;SKN;47-1207;71;2;apporter oint
Apocalypse 6:1;SKN;47-1207;71;2;viens voix
Actes 20:24;SKN;47-1207;72;2;cas temoignage
Matthieu 10:1;SKN;47-1207;73;2;chasser guerir
Actes 20:24;SKN;47-1207;73;2;rendre temoignage
Apocalypse 20:4;SKN;47-1207;75;2;rendu temoignage
Matthieu 10:1;SKN;47-1207;80;2;appele guerir
Apocalypse 10:1;SKN;47-1207;83;2;ange puissant
Apocalypse 10:7;SKN;47-1207;83;2;ange termine
Apocalypse 10:1-7;SKN;47-1207;83;2;ange puissant
Hebreux 6:4;SKN;47-1207;83;2;celeste don
Apocalypse 22:8;SKN;47-1207;84;2;pieds rendre
Actes 20:24;SKN;47-1207;84;2;rendre temoignage
Matthieu 10:1;SKN;47-1207;89;2;chasser guerir
Hebreux 6:4;SKN;47-1207;93;2;celeste goute
Hebreux 11:1;SKN;47-1207;93;3;celles espere voit
Matthieu 10:1;SKN;47-1207;97;2;guerir maladie
Esaie 40:3;SKN;47-1221;4;2;desert voix
Jean 3:14;SKN;47-1221;4;2;desert serpent
Actes 2:24;SKN;47-1221;14;2;possible ressuscite
Actes 20:24;SKN;47-1221;16;2;cas tiens
Matthieu 19:28;SKN;47-1221;18;2;disrael mavez
Matthieu 10:1;SKN;47-1221;19;2;ayant esprits
Matthieu 24:29;SKN;47-1221;19;2;aussitot lune
Matthieu 3:16;SKN;47-1221;19;2;aussitot ayant
Matthieu 24:29;SKN;47-1221;20;2;lune puissances
Esaie 28:19;SKN;47-1221;23;2;entendre nuit
Hebreux 6:4;SKN;48-0000;7;2;celeste devenus
Jean 5:24;SKN;48-0000;14;2;envoye eternelle
Matthieu 10:1;SKN;48-0000;14;2;chasser guerir
Genese 3:16;SKN;48-0000;19;2;tourne travail
Hebreux 12:24;SKN;48-0000;25;2;mieux nouvelle
Joel 2:28;SKN;48-0302;1;2;filles jeunes
Genese 6:4;SKN;48-0302;1;2;filles venus
Matthieu 10:1;SKN;48-0302;2;2;guerir maladie
Marc 11:23;SKN;48-0302;4;2;dira jette
Apocalypse 1:1;SKN;48-0302;6;2;ange revelation
Luc 7:36;SKN;48-0302;7;2;entrant table
Hebreux 11:1;SKN;48-0302;8;2;espere voit
Apocalypse 6:11;SKN;48-0302;13;2;blanche robe
Esaie 40:3;SKN;48-0302;14;2;chemin route
Joel 2:28;SKN;48-0302;15;2;filles jeunes
Apocalypse 10:1;SKN;48-0302;15;2;ange visage
Apocalypse 10:1-7;SKN;48-0302;15;2;ange visage
Actes 20:24;SKN;48-0302;21;2;aucun cas
Nombres 12:6;SKN;48-0302;25;2;paroles vision
Apocalypse 21:19;SKN;48-0302;29;2;premier troisieme
Esaie 40:3;SKN;48-0302;35;2;chemin route
Esaie 40:3;SKN;48-0302;37;2;chemin route
Esaie 40:3;SKN;48-0302;38;2;chemin route
Hebreux 12:25;SKN;48-0302;39;2;parlait prenez
Matthieu 3:16;SKN;48-0302;40;2;aussitot ayant
Actes 20:24;SKN;48-0302;45;2;cas temoignage
Jean 14:12;SKN;48-0302;47;2;grandes uvres
Matthieu 10:1;SKN;48-0302;48;2;autorite douze
Matthieu 19:28;SKN;48-0302;48;2;douze suivi
Exode 13:21;SKN;48-0302;50;2;chemin nuit
Psaumes 41:9;SKN;48-0302;55;3;ami intime leve
Daniel 7:9;SKN;48-0302;57;2;blanc cheveux
Esaie 53:12;SKN;48-0302;59;2;aura plusieurs
Esaie 28:19;SKN;48-0302;61;2;entendre nuit
Exode 13:21;SKN;48-0302;61;2;allait nuit
Daniel 7:9;SKN;48-0302;61;2;blanc cheveux
Actes 20:24;SKN;48-0302;67;2;cas temoignage
Esaie 14:12;SKN;48-0302;68;2;cieux tombe
Apocalypse 1:1;SKN;48-0302;68;2;ange arriver
Hebreux 11:1;SKN;48-0302;72;3;celles espere voit
Hebreux 6:4;SKN;48-0302;74;2;don goute
Hebreux 11:1;SKN;48-0302;74;3;celles espere voit
Ephesiens 1:13;SKN;48-0302;74;2;cru espere
Apocalypse 1:1;SKN;48-0302;74;2;ange revelation
Ephesiens 1:13-14;SKN;48-0302;74;2;cru espere
Actes 1:8;SKN;48-0302;75;2;bout serez
Hebreux 13:10;SKN;48-0302;75;2;droit manger
Ezechiel 28:12;SKN;48-0302;76;2;etais plein
Psaumes 41:9;SKN;48-0302;76;2;leve pain
Exode 13:21;SKN;48-0302;77;2;allait nuit
Psaumes 41:9;SKN;48-0302;77;2;leve pain
Matthieu 24:24;SKN;48-0302;81;3;grands prodiges signes
Esaie 53:12;SKN;48-0302;81;2;grands plusieurs
Jean 5:7;SKN;48-0302;92;2;malade viens
Matthieu 10:1;SKN;48-0302;93;2;guerir maladie
Matthieu 10:1;SKN;48-0302;96;2;guerir maladie
Matthieu 10:1;SKN;48-0302;97;2;guerir maladie
Esaie 60:1;SKN;48-0302;98;2;leve levee
Matthieu 10:1;SKN;48-0302;99;2;guerir maladie
Matthieu 10:1;SKN;48-0302;107;2;guerir maladie
Apocalypse 10:1;SKN;48-0302;109;2;ange puissant
Apocalypse 10:1-7;SKN;48-0302;109;2;ange puissant
Esaie 61:1;SKN;48-0302;109;2;envoye oint
Matthieu 18:10;SKN;48-0302;110;3;face garde voient
Matthieu 10:1;SKN;48-0302;118;2;guerir maladie
Actes 20:24;SKN;48-0302;121;2;cas temoignage
Apocalypse 10:1;SKN;48-0302;124;2;ange descendant
Matthieu 1:18;SKN;48-0302;124;2;marie soient
Apocalypse 10:7;SKN;48-0302;124;2;ange sonner
Apocalypse 22:18;SKN;48-0302;124;2;rends temoignage
Apocalypse 10:1-7;SKN;48-0302;124;2;ange descendant
Apocalypse 20:4;SKN;48-0302;124;2;rendu temoignage
Actes 20:24;SKN;48-0302;124;2;cas temoignage
Apocalypse 10:1;SKN;48-0302;127;2;ange puissant
Apocalypse 10:1-7;SKN;48-0302;127;2;ange puissant
Hebreux 1:1;SKN;48-0302;128;2;autrefois plusieurs
Matthieu 10:1;SKN;48-0302;129;2;guerir maladie
Actes 20:24;SKN;48-0302;133;2;cas temoignage
Apocalypse 1:1;SKN;48-0302;139;2;ange montrer
Actes 1:8;SKN;48-0302;143;2;recevrez serez
Matthieu 10:1;SKN;48-0302;143;2;douze guerir
Daniel 7:9;SKN;48-0302;143;2;cheveux vetement
Matthieu 19:28;SKN;48-0302;143;2;douze serez
Actes 2:24;SKN;48-0302;143;2;lequel ressuscite
Jean 5:24;SKN;48-0302;146;2;croit entend
Actes 20:24;SKN;48-0302;147;2;precieuse temoignage
Matthieu 24:24;SKN;48-0304;3;2;prodiges signes
Jean 5:7;SKN;48-0304;6;2;malade viens
Matthieu 24:7;SKN;48-0304;7;2;divers royaume
Apocalypse 10:1;SKN;48-0304;9;2;puissant soleil
Apocalypse 10:1-7;SKN;48-0304;9;2;puissant soleil
Apocalypse 6:11;SKN;48-0304;10;2;blanche robe
Hebreux 1:1;SKN;48-0304;12;2;plusieurs prophetes
Apocalypse 10:1;SKN;48-0304;12;2;ange pieds
Apocalypse 10:7;SKN;48-0304;12;2;ange prophetes
Apocalypse 10:1-7;SKN;48-0304;12;2;ange pieds
Apocalypse 22:8;SKN;48-0304;12;3;lange montrait pieds
Actes 20:24;SKN;48-0304;12;2;aucun cas
Esaie 9:6;SKN;48-0304;14;2;fort gouvernement
Esaie 53:5;SKN;48-0304;14;3;blesse gueris meurtrissures
Malachie 3:1;SKN;48-0304;14;2;cherchez lange
Esaie 53:5;SKN;48-0304;15;3;blesse gueris meurtrissures
Matthieu 1:18;SKN;48-0304;19;2;ensemble naissance
Apocalypse 17:8;SKN;48-0304;19;2;monter vue
Matthieu 24:24;SKN;48-0304;24;2;prodiges signes
Apocalypse 22:18;SKN;48-0304;24;2;paroles temoignage
Genese 14:18;SKN;48-0304;25;2;roi vin
Matthieu 24:24;SKN;48-0304;27;2;prodiges signes
Actes 1:8;SKN;48-0304;27;2;judee venant
Apocalypse 10:7;SKN;48-0304;27;2;nouvelle septieme
Apocalypse 13:14;SKN;48-0304;27;2;fut miracles
Hebreux 12:24;SKN;48-0304;27;2;mieux nouvelle
Apocalypse 6:3;SKN;48-0304;27;2;lorsquil second
Apocalypse 6:12;SKN;48-0304;27;2;fit lorsquil
Jean 16:21;SKN;48-0304;27;2;heure lenfant
Genese 14:18;SKN;48-0304;27;2;fit roi
Apocalypse 10:1;SKN;48-0304;28;2;ange pieds
Apocalypse 10:1-7;SKN;48-0304;28;2;ange pieds
Matthieu 10:1;SKN;48-0304;34;2;ayant guerir
Matthieu 3:16;SKN;48-0304;34;2;ayant descendre
Apocalypse 13:14;SKN;48-0304;36;2;fut miracles
Actes 20:24;SKN;48-0304;38;2;aucun cas
Matthieu 10:1;SKN;48-0304;40;2;chasser douze
Esaie 40:3;SKN;48-0304;43;2;chemin voix
Matthieu 3:16;SKN;48-0304;43;2;aussitot vit
Matthieu 12:42;SKN;48-0304;45;2;entendre midi
Esaie 53:12;SKN;48-0304;46;2;ame plusieurs
Esaie 14:12;SKN;48-0304;49;2;nations tombe
Esaie 53:12;SKN;48-0304;49;3;ame aura compte
Matthieu 24:7;SKN;48-0304;49;2;aura royaume
Jean 5:24;SKN;48-0304;53;2;croit envoye
Esaie 61:1;SKN;48-0304;53;2;brise envoye
Apocalypse 20:4;SKN;48-0304;54;2;fut temoignage
Actes 1:8;SKN;48-0304;55;2;serez venant
Jean 5:7;SKN;48-0304;58;2;malade viens
Apocalypse 10:7;SKN;48-0304;58;2;ange annonce
Genese 2:18-21;SKN;48-0304;58;2;aide ferai
Joel 2:25;SKN;48-0304;58;2;milieu rendrai
Esaie 53:12;SKN;48-0304;59;2;aura compte
Matthieu 10:1;SKN;48-0304;60;2;guerir maladie
Matthieu 24:24;SKN;48-0305;2;2;prophetes signes
Apocalypse 20:4;SKN;48-0305;3;2;rendu temoignage
Matthieu 24:24;SKN;48-0305;5;2;prodiges signes
Nombres 12:6;SKN;48-0305;5;2;connaitre vision
Matthieu 10:1;SKN;48-0305;5;2;guerir maladie
Apocalypse 13:14;SKN;48-0305;9;2;fut miracles
Hebreux 12:25;SKN;48-0305;9;2;cieux parlait
Joel 2:28;SKN;48-0305;13;2;chair filles
1 Timothee 3:16;SKN;48-0305;13;2;chair manifeste
Matthieu 24:24;SKN;48-0305;14;2;prodiges signes
Marc 11:23;SKN;48-0305;14;2;aura croira
Esaie 28:19;SKN;48-0305;15;2;entendre nuit
Exode 13:21;SKN;48-0305;15;2;allait nuit
Esaie 28:19;SKN;48-0305;17;2;entendre nuit
Apocalypse 17:17;SKN;48-0305;18;2;donner soient
Jean 3:21;SKN;48-0305;19;3;manifestees soient uvres
Actes 1:8;SKN;48-0305;20;2;bout temoins
Jean 5:7;SKN;48-0305;21;2;jette viens
Matthieu 11:10;SKN;48-0305;23;2;chemin lequel
Matthieu 10:1;SKN;48-0305;25;2;douze guerir
Marc 11:23;SKN;48-0305;28;2;mer montagne
Daniel 7:9;SKN;48-0305;29;2;blanc vis
Apocalypse 19:11;SKN;48-0305;29;2;blanc vis
Psaumes 16:10;SKN;48-0305;30;2;ame corruption
Matthieu 10:1;SKN;48-0305;30;2;appele esprits
Apocalypse 19:11;SKN;48-0305;30;2;appele blanc
Apocalypse 6:1;SKN;48-0305;30;2;viens voix
Apocalypse 19:11;SKN;48-0305;31;2;blanc combat
Luc 21:24;SKN;48-0305;31;2;jerusalem pieds
Ephesiens 1:13;SKN;48-0305;32;2;ayant cru
Ephesiens 1:13-14;SKN;48-0305;32;2;ayant cru
Joel 2:28;SKN;48-0305;37;2;arrivera jeunes
Apocalypse 19:11;SKN;48-0305;42;2;appele ouvert
Apocalypse 17:17;SKN;48-0305;43;2;curs soient
Apocalypse 6:11;SKN;48-0305;43;2;blanche soient
Actes 1:8;SKN;48-0305;44;2;recevrez serez
1 Timothee 3:16;SKN;48-0305;44;2;cru preche
Apocalypse 6:1;SKN;48-0305;44;2;viens vis
Apocalypse 22:18;SKN;48-0305;48;2;paroles rends
Esaie 61:1;SKN;48-0305;48;2;apporter envoye
Esaie 28:19;SKN;48-0305;49;2;entendre nuit
Psaumes 42:7;SKN;48-0305;49;2;tes voix
Hebreux 1:1;SKN;49-0718;2;2;autrefois prophetes
Apocalypse 10:7;SKN;49-0718;2;2;prophetes voix
Ephesiens 1:20;SKN;49-0718;2;2;celestes lieux
Psaumes 42:7;SKN;49-0718;2;2;tes voix
Jean 14:12;SKN;49-0718;5;2;celles grandes
Genese 2:7;SKN;49-0718;5;2;ame poussiere
Zacharie 14:6;SKN;49-0718;5;2;arrivera aura
Esaie 53:12;SKN;49-0718;5;2;ame aura
Apocalypse 1:1;SKN;49-0718;6;2;arriver bientot
Genese 2:7;SKN;49-0718;7;2;ame vivante
Esaie 53:12;SKN;49-0718;7;2;ame grands
