ref;occurrences;fichier
2 Chroniques 26:16;2;14-2-chroniques.md
2 Chroniques 26:17;1;14-2-chroniques.md
2 Chroniques 26:18;1;14-2-chroniques.md
2 Chroniques 26:19;1;14-2-chroniques.md
2 Chroniques 26:20;1;14-2-chroniques.md
2 Chroniques 26:21;2;14-2-chroniques.md
2 Chroniques 26:4;1;14-2-chroniques.md
2 Chroniques 26:5;1;14-2-chroniques.md
2 Corinthiens 3:12;1;47-2-corinthiens.md
2 Corinthiens 3:13;1;47-2-corinthiens.md
2 Corinthiens 3:14;1;47-2-corinthiens.md
2 Corinthiens 3:3;1;47-2-corinthiens.md
2 Corinthiens 3:6;1;47-2-corinthiens.md
2 Corinthiens 3:7;1;47-2-corinthiens.md
2 Corinthiens 3:9;1;47-2-corinthiens.md
2 Corinthiens 5:17;1;47-2-corinthiens.md
2 Corinthiens 6:10;1;47-2-corinthiens.md
2 Corinthiens 6:7;1;47-2-corinthiens.md
2 Corinthiens 6:8;1;47-2-corinthiens.md
2 Corinthiens 6:9;1;47-2-corinthiens.md
2 Corinthiens 9:12;1;47-2-corinthiens.md
2 Pierre 1:3;1;61-2-pierre.md
2 Pierre 1:6;1;61-2-pierre.md
2 Pierre 1:7;1;61-2-pierre.md
2 Pierre 2:4;1;61-2-pierre.md
2 Pierre 3:1;1;61-2-pierre.md
2 Pierre 3:10;1;61-2-pierre.md
2 Pierre 3:11;1;61-2-pierre.md
2 Pierre 3:12;1;61-2-pierre.md
2 Pierre 3:13;1;61-2-pierre.md
2 Pierre 3:14;1;61-2-pierre.md
2 Pierre 3:15;1;61-2-pierre.md
2 Pierre 3:16;1;61-2-pierre.md
2 Pierre 3:17;1;61-2-pierre.md
2 Pierre 3:18;1;61-2-pierre.md
2 Pierre 3:2;1;61-2-pierre.md
2 Pierre 3:3;1;61-2-pierre.md
2 Pierre 3:4;1;61-2-pierre.md
2 Pierre 3:6;1;61-2-pierre.md
2 Pierre 3:7;1;61-2-pierre.md
2 Pierre 3:9;1;61-2-pierre.md
2 Samuel 6:14;1;10-2-samuel.md
2 Thessaloniciens 2:3;2;53-2-thessaloniciens.md
2 Thessaloniciens 2:7;1;53-2-thessaloniciens.md
2 Thessaloniciens 2:9;1;53-2-thessaloniciens.md
2 Timothee 2:16;1;55-2-timothee.md
2 Timothee 2:4;1;55-2-timothee.md
2 Timothee 3:1;1;55-2-timothee.md
2 Timothee 3:12;1;55-2-timothee.md
2 Timothee 3:4;1;55-2-timothee.md
2 Timothee 3:5;3;55-2-timothee.md
2 Timothee 3:6;1;55-2-timothee.md
2 Timothee 3:8;1;55-2-timothee.md
2 Timothee 4:1;2;55-2-timothee.md
2 Timothee 4:10;1;55-2-timothee.md
2 Timothee 4:2;3;55-2-timothee.md
2 Timothee 4:3;5;55-2-timothee.md
2 Timothee 4:4;2;55-2-timothee.md
2 Timothee 4:5;3;55-2-timothee.md
Actes 10:13;1;44-actes.md
Actes 10:16;1;44-actes.md
Actes 10:17;1;44-actes.md
Actes 10:2;1;44-actes.md
Actes 10:22;1;44-actes.md
Actes 10:3;2;44-actes.md
Actes 10:33;1;44-actes.md
Actes 10:35;65;44-actes.md
Actes 10:37;1;44-actes.md
Actes 10:39;1;44-actes.md
Actes 10:40;1;44-actes.md
Actes 10:44;51;44-actes.md
Actes 10:47;3;44-actes.md
Actes 10:48;2;44-actes.md
Actes 10:49;35;44-actes.md
Actes 10:5;2;44-actes.md
Actes 10:7;1;44-actes.md
Actes 15:1;1;44-actes.md
Actes 15:10;1;44-actes.md
Actes 15:12;1;44-actes.md
Actes 15:13;1;44-actes.md
Actes 15:14;75;44-actes.md
Actes 15:15;1;44-actes.md
Actes 15:2;1;44-actes.md
Actes 15:21;1;44-actes.md
Actes 15:22;1;44-actes.md
Actes 15:23;2;44-actes.md
Actes 15:24;1;44-actes.md
Actes 15:25;1;44-actes.md
Actes 15:30;1;44-actes.md
Actes 15:32;1;44-actes.md
Actes 15:36;1;44-actes.md
Actes 15:4;1;44-actes.md
Actes 15:5;1;44-actes.md
Actes 15:7;2;44-actes.md
Actes 15:8;1;44-actes.md
Actes 16:31;7;44-actes.md
Actes 18:18;1;44-actes.md
Actes 19:1;38;44-actes.md
Actes 19:11;4;44-actes.md
Actes 19:12;9;44-actes.md
Actes 19:13;18;44-actes.md
Actes 19:14;2;44-actes.md
Actes 19:15;1;44-actes.md
Actes 19:16;3;44-actes.md
Actes 19:17;5;44-actes.md
Actes 19:18;2;44-actes.md
Actes 19:19;6;44-actes.md
Actes 19:2;1;44-actes.md
Actes 19:20;1;44-actes.md
Actes 19:21;24;44-actes.md
Actes 19:22;1;44-actes.md
Actes 19:23;1;44-actes.md
Actes 19:24;1;44-actes.md
Actes 19:26;7;44-actes.md
Actes 19:27;5;44-actes.md
Actes 19:28;2;44-actes.md
Actes 19:29;8;44-actes.md
Actes 19:3;4;44-actes.md
Actes 19:30;2;44-actes.md
Actes 19:32;1;44-actes.md
Actes 19:33;2;44-actes.md
Actes 19:34;9;44-actes.md
Actes 19:35;4;44-actes.md
Actes 19:36;2;44-actes.md
Actes 19:39;1;44-actes.md
Actes 19:4;53;44-actes.md
Actes 19:40;3;44-actes.md
Actes 19:5;24;44-actes.md
Actes 19:58;1;44-actes.md
Actes 19:6;30;44-actes.md
Actes 19:8;2;44-actes.md
Actes 19:9;4;44-actes.md
Actes 1:13;1;44-actes.md
Actes 1:14;1;44-actes.md
Actes 1:19;1;44-actes.md
Actes 1:22;1;44-actes.md
Actes 1:3;1;44-actes.md
Actes 1:4;2;44-actes.md
Actes 1:8;131;44-actes.md
Actes 20:1;3;44-actes.md
Actes 20:10;3;44-actes.md
Actes 20:11;3;44-actes.md
Actes 20:13;3;44-actes.md
Actes 20:14;3;44-actes.md
Actes 20:15;3;44-actes.md
Actes 20:16;3;44-actes.md
Actes 20:18;3;44-actes.md
Actes 20:19;1;44-actes.md
Actes 20:2;3;44-actes.md
Actes 20:20;3;44-actes.md
Actes 20:21;3;44-actes.md
Actes 20:22;3;44-actes.md
Actes 20:23;2;44-actes.md
Actes 20:24;108;44-actes.md
Actes 20:25;2;44-actes.md
Actes 20:27;4;44-actes.md
Actes 20:28;3;44-actes.md
Actes 20:3;3;44-actes.md
Actes 20:30;2;44-actes.md
Actes 20:31;3;44-actes.md
Actes 20:33;2;44-actes.md
Actes 20:35;3;44-actes.md
Actes 20:36;1;44-actes.md
Actes 20:6;3;44-actes.md
Actes 20:7;3;44-actes.md
Actes 20:9;3;44-actes.md
Actes 22:16;2;44-actes.md
Actes 23:11;4;44-actes.md
Actes 26:15;2;44-actes.md
Actes 28:19;2;44-actes.md
Actes 2:11;1;44-actes.md
Actes 2:13;6;44-actes.md
Actes 2:14;5;44-actes.md
Actes 2:15;12;44-actes.md
Actes 2:17;16;44-actes.md
Actes 2:18;9;44-actes.md
Actes 2:19;7;44-actes.md
Actes 2:2;7;44-actes.md
Actes 2:20;8;44-actes.md
Actes 2:21;7;44-actes.md
Actes 2:22;34;44-actes.md
Actes 2:23;2;44-actes.md
Actes 2:24;96;44-actes.md
Actes 2:25;1;44-actes.md
Actes 2:26;3;44-actes.md
Actes 2:27;4;44-actes.md
Actes 2:28;2;44-actes.md
Actes 2:29;3;44-actes.md
Actes 2:3;1;44-actes.md
Actes 2:30;8;44-actes.md
Actes 2:31;7;44-actes.md
Actes 2:33;1;44-actes.md
Actes 2:34;3;44-actes.md
Actes 2:35;2;44-actes.md
Actes 2:36;5;44-actes.md
Actes 2:37;4;44-actes.md
Actes 2:38;250;44-actes.md
Actes 2:39;2;44-actes.md
Actes 2:4;133;44-actes.md
Actes 2:40;2;44-actes.md
Actes 2:41;3;44-actes.md
Actes 2:42;3;44-actes.md
Actes 2:43;9;44-actes.md
Actes 2:45;1;44-actes.md
Actes 2:46;6;44-actes.md
Actes 2:47;2;44-actes.md
Actes 2:5;3;44-actes.md
Actes 2:6;9;44-actes.md
Actes 2:8;5;44-actes.md
Actes 3:25;1;44-actes.md
Actes 4:2;1;44-actes.md
Actes 4:24;2;44-actes.md
Actes 4:25;7;44-actes.md
Actes 4:27;5;44-actes.md
Actes 4:30;4;44-actes.md
Actes 4:32;1;44-actes.md
Actes 4:36;3;44-actes.md
Actes 4:6;1;44-actes.md
Actes 4:8;1;44-actes.md
Actes 5:19;1;44-actes.md
Actes 5:3;1;44-actes.md
Actes 5:32;2;44-actes.md
Actes 5:9;2;44-actes.md
Actes 7:14;1;44-actes.md
Actes 7:18;1;44-actes.md
Actes 7:31;1;44-actes.md
Actes 7:38;5;44-actes.md
Actes 7:44;3;44-actes.md
Actes 7:45;3;44-actes.md
Actes 7:46;3;44-actes.md
Actes 7:47;1;44-actes.md
Actes 7:48;3;44-actes.md
Actes 7:49;5;44-actes.md
Actes 7:55;2;44-actes.md
Actes 8:14;2;44-actes.md
Actes 8:18;2;44-actes.md
Actes 8:25;1;44-actes.md
Actes 8:26;1;44-actes.md
Actes 8:27;1;44-actes.md
Actes 8:30;1;44-actes.md
Actes 8:35;1;44-actes.md
Actes 8:38;1;44-actes.md
Actes 8:5;1;44-actes.md
Actes 8:6;1;44-actes.md
Actes 9:11;2;44-actes.md
Actes 9:13;2;44-actes.md
Actes 9:15;1;44-actes.md
Actes 9:17;2;44-actes.md
Actes 9:18;1;44-actes.md
Actes 9:19;2;44-actes.md
Actes 9:2;2;44-actes.md
Actes 9:21;2;44-actes.md
Actes 9:23;2;44-actes.md
Actes 9:26;2;44-actes.md
Actes 9:27;2;44-actes.md
Actes 9:28;2;44-actes.md
Actes 9:3;2;44-actes.md
Actes 9:31;1;44-actes.md
Actes 9:33;2;44-actes.md
Actes 9:34;2;44-actes.md
Actes 9:36;1;44-actes.md
Actes 9:37;1;44-actes.md
Actes 9:38;1;44-actes.md
Actes 9:39;1;44-actes.md
Actes 9:4;1;44-actes.md
Actes 9:40;2;44-actes.md
Actes 9:41;2;44-actes.md
Actes 9:43;1;44-actes.md
Actes 9:5;2;44-actes.md
Actes 9:7;2;44-actes.md
Actes 9:8;1;44-actes.md
Amos 3:3;1;30-amos.md
Amos 3:4;1;30-amos.md
Amos 3:7;94;30-amos.md
Amos 8:11;1;30-amos.md
Apocalypse 10:1;141;66-apocalypse.md
Apocalypse 10:1-7;106;66-apocalypse.md
Apocalypse 10:11;1;66-apocalypse.md
Apocalypse 10:17;1;66-apocalypse.md
Apocalypse 10:2;15;66-apocalypse.md
Apocalypse 10:3;23;66-apocalypse.md
Apocalypse 10:4;23;66-apocalypse.md
Apocalypse 10:5;14;66-apocalypse.md
Apocalypse 10:6;27;66-apocalypse.md
Apocalypse 10:7;194;66-apocalypse.md
Apocalypse 10:8;7;66-apocalypse.md
Apocalypse 11:1;2;66-apocalypse.md
Apocalypse 11:10;6;66-apocalypse.md
Apocalypse 11:11;5;66-apocalypse.md
Apocalypse 11:12;2;66-apocalypse.md
Apocalypse 11:13;6;66-apocalypse.md
Apocalypse 11:15;7;66-apocalypse.md
Apocalypse 11:18;11;66-apocalypse.md
Apocalypse 11:19;3;66-apocalypse.md
Apocalypse 11:2;9;66-apocalypse.md
Apocalypse 11:3;28;66-apocalypse.md
Apocalypse 11:4;4;66-apocalypse.md
Apocalypse 11:5;2;66-apocalypse.md
Apocalypse 11:6;11;66-apocalypse.md
Apocalypse 11:7;6;66-apocalypse.md
Apocalypse 11:8;8;66-apocalypse.md
Apocalypse 11:9;7;66-apocalypse.md
Apocalypse 12:1;7;66-apocalypse.md
Apocalypse 12:10;1;66-apocalypse.md
Apocalypse 12:11;1;66-apocalypse.md
Apocalypse 12:12;3;66-apocalypse.md
Apocalypse 12:13;4;66-apocalypse.md
Apocalypse 12:16;1;66-apocalypse.md
Apocalypse 12:17;2;66-apocalypse.md
Apocalypse 12:2;2;66-apocalypse.md
Apocalypse 12:3;2;66-apocalypse.md
Apocalypse 12:4;4;66-apocalypse.md
Apocalypse 12:5;7;66-apocalypse.md
Apocalypse 12:7;2;66-apocalypse.md
Apocalypse 12:8;2;66-apocalypse.md
Apocalypse 12:9;9;66-apocalypse.md
Apocalypse 13:1;19;66-apocalypse.md
Apocalypse 13:10;1;66-apocalypse.md
Apocalypse 13:11;22;66-apocalypse.md
Apocalypse 13:12;4;66-apocalypse.md
Apocalypse 13:13;2;66-apocalypse.md
Apocalypse 13:14;86;66-apocalypse.md
Apocalypse 13:15;7;66-apocalypse.md
Apocalypse 13:16;6;66-apocalypse.md
Apocalypse 13:17;16;66-apocalypse.md
Apocalypse 13:18;3;66-apocalypse.md
Apocalypse 13:2;24;66-apocalypse.md
Apocalypse 13:3;9;66-apocalypse.md
Apocalypse 13:4;16;66-apocalypse.md
Apocalypse 13:5;8;66-apocalypse.md
Apocalypse 13:6;29;66-apocalypse.md
Apocalypse 13:7;8;66-apocalypse.md
Apocalypse 13:8;120;66-apocalypse.md
Apocalypse 14:6;1;66-apocalypse.md
Apocalypse 15:16;1;66-apocalypse.md
Apocalypse 15:2;4;66-apocalypse.md
Apocalypse 15:3;4;66-apocalypse.md
Apocalypse 16:1;1;66-apocalypse.md
Apocalypse 16:13;85;66-apocalypse.md
Apocalypse 16:17;1;66-apocalypse.md
Apocalypse 16:9;1;66-apocalypse.md
Apocalypse 17:1;30;66-apocalypse.md
Apocalypse 17:11;4;66-apocalypse.md
Apocalypse 17:12;17;66-apocalypse.md
Apocalypse 17:13;7;66-apocalypse.md
Apocalypse 17:14;4;66-apocalypse.md
Apocalypse 17:15;116;66-apocalypse.md
Apocalypse 17:16;12;66-apocalypse.md
Apocalypse 17:17;115;66-apocalypse.md
Apocalypse 17:2;9;66-apocalypse.md
Apocalypse 17:3;141;66-apocalypse.md
Apocalypse 17:4;10;66-apocalypse.md
Apocalypse 17:5;2;66-apocalypse.md
Apocalypse 17:6;3;66-apocalypse.md
Apocalypse 17:7;15;66-apocalypse.md
Apocalypse 17:8;122;66-apocalypse.md
Apocalypse 17:9;13;66-apocalypse.md
Apocalypse 18:1;6;66-apocalypse.md
Apocalypse 18:10;1;66-apocalypse.md
Apocalypse 18:2;3;66-apocalypse.md
Apocalypse 18:21;1;66-apocalypse.md
Apocalypse 18:23;3;66-apocalypse.md
Apocalypse 18:3;3;66-apocalypse.md
Apocalypse 18:4;3;66-apocalypse.md
Apocalypse 18:8;2;66-apocalypse.md
Apocalypse 18:9;1;66-apocalypse.md
Apocalypse 19:1;1;66-apocalypse.md
Apocalypse 19:10;1;66-apocalypse.md
Apocalypse 19:11;115;66-apocalypse.md
Apocalypse 19:12;2;66-apocalypse.md
Apocalypse 19:13;4;66-apocalypse.md
Apocalypse 19:14;3;66-apocalypse.md
Apocalypse 19:15;8;66-apocalypse.md
Apocalypse 19:16;3;66-apocalypse.md
Apocalypse 19:17;4;66-apocalypse.md
Apocalypse 19:18;1;66-apocalypse.md
Apocalypse 19:19;3;66-apocalypse.md
Apocalypse 19:2;2;66-apocalypse.md
Apocalypse 19:20;1;66-apocalypse.md
Apocalypse 19:21;103;66-apocalypse.md
Apocalypse 19:3;1;66-apocalypse.md
Apocalypse 19:4;1;66-apocalypse.md
Apocalypse 19:5;1;66-apocalypse.md
Apocalypse 19:6;2;66-apocalypse.md
Apocalypse 19:7;4;66-apocalypse.md
Apocalypse 19:8;3;66-apocalypse.md
Apocalypse 19:9;2;66-apocalypse.md
Apocalypse 1:1;107;66-apocalypse.md
Apocalypse 1:10;67;66-apocalypse.md
Apocalypse 1:12;9;66-apocalypse.md
Apocalypse 1:13;5;66-apocalypse.md
Apocalypse 1:14;10;66-apocalypse.md
Apocalypse 1:15;3;66-apocalypse.md
Apocalypse 1:16;12;66-apocalypse.md
Apocalypse 1:17;12;66-apocalypse.md
Apocalypse 1:18;5;66-apocalypse.md
Apocalypse 1:19;1;66-apocalypse.md
Apocalypse 1:2;1;66-apocalypse.md
Apocalypse 1:20;97;66-apocalypse.md
Apocalypse 1:3;3;66-apocalypse.md
Apocalypse 1:4;3;66-apocalypse.md
Apocalypse 1:5;1;66-apocalypse.md
Apocalypse 1:6;2;66-apocalypse.md
Apocalypse 1:7;74;66-apocalypse.md
Apocalypse 1:8;1;66-apocalypse.md
Apocalypse 1:9;2;66-apocalypse.md
Apocalypse 20:1;3;66-apocalypse.md
Apocalypse 20:10;1;66-apocalypse.md
Apocalypse 20:11;1;66-apocalypse.md
Apocalypse 20:12;1;66-apocalypse.md
Apocalypse 20:13;1;66-apocalypse.md
Apocalypse 20:2;3;66-apocalypse.md
Apocalypse 20:27;2;66-apocalypse.md
Apocalypse 20:3;3;66-apocalypse.md
Apocalypse 20:4;106;66-apocalypse.md
Apocalypse 20:5;1;66-apocalypse.md
Apocalypse 20:6;1;66-apocalypse.md
Apocalypse 20:7;6;66-apocalypse.md
Apocalypse 21:1;12;66-apocalypse.md
Apocalypse 21:10;9;66-apocalypse.md
Apocalypse 21:12;6;66-apocalypse.md
Apocalypse 21:14;4;66-apocalypse.md
Apocalypse 21:15;3;66-apocalypse.md
Apocalypse 21:16;3;66-apocalypse.md
Apocalypse 21:17;2;66-apocalypse.md
Apocalypse 21:18;3;66-apocalypse.md
Apocalypse 21:19;74;66-apocalypse.md
Apocalypse 21:2;17;66-apocalypse.md
Apocalypse 21:20;1;66-apocalypse.md
Apocalypse 21:21;3;66-apocalypse.md
Apocalypse 21:22;4;66-apocalypse.md
Apocalypse 21:23;69;66-apocalypse.md
Apocalypse 21:24;2;66-apocalypse.md
Apocalypse 21:25;3;66-apocalypse.md
Apocalypse 21:27;5;66-apocalypse.md
Apocalypse 21:3;5;66-apocalypse.md
Apocalypse 21:4;4;66-apocalypse.md
Apocalypse 21:5;3;66-apocalypse.md
Apocalypse 21:6;3;66-apocalypse.md
Apocalypse 21:8;1;66-apocalypse.md
Apocalypse 21:9;7;66-apocalypse.md
Apocalypse 22:1;1;66-apocalypse.md
Apocalypse 22:10;2;66-apocalypse.md
Apocalypse 22:12;1;66-apocalypse.md
Apocalypse 22:13;4;66-apocalypse.md
Apocalypse 22:14;2;66-apocalypse.md
Apocalypse 22:15;1;66-apocalypse.md
Apocalypse 22:16;5;66-apocalypse.md
Apocalypse 22:17;1;66-apocalypse.md
Apocalypse 22:18;120;66-apocalypse.md
Apocalypse 22:19;95;66-apocalypse.md
Apocalypse 22:2;1;66-apocalypse.md
Apocalypse 22:20;1;66-apocalypse.md
Apocalypse 22:3;2;66-apocalypse.md
Apocalypse 22:5;1;66-apocalypse.md
Apocalypse 22:6;12;66-apocalypse.md
Apocalypse 22:7;2;66-apocalypse.md
Apocalypse 22:8;68;66-apocalypse.md
Apocalypse 22:9;5;66-apocalypse.md
Apocalypse 2:1;1;66-apocalypse.md
Apocalypse 2:10;5;66-apocalypse.md
Apocalypse 2:11;1;66-apocalypse.md
Apocalypse 2:12;1;66-apocalypse.md
Apocalypse 2:13;3;66-apocalypse.md
Apocalypse 2:17;5;66-apocalypse.md
Apocalypse 2:18;4;66-apocalypse.md
Apocalypse 2:19;2;66-apocalypse.md
Apocalypse 2:2;1;66-apocalypse.md
Apocalypse 2:20;78;66-apocalypse.md
Apocalypse 2:22;2;66-apocalypse.md
Apocalypse 2:24;1;66-apocalypse.md
Apocalypse 2:26;2;66-apocalypse.md
Apocalypse 2:4;1;66-apocalypse.md
Apocalypse 2:5;4;66-apocalypse.md
Apocalypse 2:6;1;66-apocalypse.md
Apocalypse 2:7;5;66-apocalypse.md
Apocalypse 2:8;1;66-apocalypse.md
Apocalypse 2:9;2;66-apocalypse.md
Apocalypse 2:99;1;66-apocalypse.md
Apocalypse 3:1;6;66-apocalypse.md
Apocalypse 3:10;1;66-apocalypse.md
Apocalypse 3:11;4;66-apocalypse.md
Apocalypse 3:12;3;66-apocalypse.md
Apocalypse 3:14;113;66-apocalypse.md
Apocalypse 3:15;6;66-apocalypse.md
Apocalypse 3:16;4;66-apocalypse.md
Apocalypse 3:17;15;66-apocalypse.md
Apocalypse 3:18;10;66-apocalypse.md
Apocalypse 3:19;3;66-apocalypse.md
Apocalypse 3:2;9;66-apocalypse.md
Apocalypse 3:20;5;66-apocalypse.md
Apocalypse 3:21;72;66-apocalypse.md
Apocalypse 3:3;5;66-apocalypse.md
Apocalypse 3:4;1;66-apocalypse.md
Apocalypse 3:5;5;66-apocalypse.md
Apocalypse 3:7;8;66-apocalypse.md
Apocalypse 3:8;8;66-apocalypse.md
Apocalypse 3:9;4;66-apocalypse.md
Apocalypse 4:1;2;66-apocalypse.md
Apocalypse 4:2;2;66-apocalypse.md
Apocalypse 4:4;2;66-apocalypse.md
Apocalypse 4:5;2;66-apocalypse.md
Apocalypse 4:7;2;66-apocalypse.md
Apocalypse 5:1;8;66-apocalypse.md
Apocalypse 5:11;6;66-apocalypse.md
Apocalypse 5:12;1;66-apocalypse.md
Apocalypse 5:14;1;66-apocalypse.md
Apocalypse 5:2;4;66-apocalypse.md
Apocalypse 5:5;3;66-apocalypse.md
Apocalypse 5:6;6;66-apocalypse.md
Apocalypse 5:8;3;66-apocalypse.md
Apocalypse 5:9;106;66-apocalypse.md
Apocalypse 6:1;109;66-apocalypse.md
Apocalypse 6:11;96;66-apocalypse.md
Apocalypse 6:12;98;66-apocalypse.md
Apocalypse 6:14;2;66-apocalypse.md
Apocalypse 6:16;3;66-apocalypse.md
Apocalypse 6:3;80;66-apocalypse.md
Apocalypse 6:5;6;66-apocalypse.md
Apocalypse 6:6;96;66-apocalypse.md
Apocalypse 6:7;2;66-apocalypse.md
Apocalypse 6:9;4;66-apocalypse.md
Apocalypse 7:1;10;66-apocalypse.md
Apocalypse 7:10;1;66-apocalypse.md
Apocalypse 7:11;1;66-apocalypse.md
Apocalypse 7:12;3;66-apocalypse.md
Apocalypse 7:13;2;66-apocalypse.md
Apocalypse 7:14;4;66-apocalypse.md
Apocalypse 7:17;1;66-apocalypse.md
Apocalypse 7:2;15;66-apocalypse.md
Apocalypse 7:3;7;66-apocalypse.md
Apocalypse 7:4;2;66-apocalypse.md
Apocalypse 7:5;2;66-apocalypse.md
Apocalypse 7:8;6;66-apocalypse.md
Apocalypse 7:9;8;66-apocalypse.md
Apocalypse 8:1;3;66-apocalypse.md
Apocalypse 8:7;3;66-apocalypse.md
Apocalypse 9:1;3;66-apocalypse.md
Apocalypse 9:1-4;1;66-apocalypse.md
Apocalypse 9:13;2;66-apocalypse.md
Apocalypse 9:2;1;66-apocalypse.md
Apocalypse 9:3;1;66-apocalypse.md
Apocalypse 9:4;1;66-apocalypse.md
Apocalypse 9:5;2;66-apocalypse.md
Colossiens 1:15;66;51-colossiens.md
Colossiens 1:17;2;51-colossiens.md
Colossiens 1:18;2;51-colossiens.md
Colossiens 3:26;2;51-colossiens.md
Colossiens 4:3;2;51-colossiens.md
Daniel 105:0;1;27-daniel.md
Daniel 111:0;1;27-daniel.md
Daniel 129:0;1;27-daniel.md
Daniel 12:1;11;27-daniel.md
Daniel 12:10;5;27-daniel.md
Daniel 12:11;2;27-daniel.md
Daniel 12:12;2;27-daniel.md
Daniel 12:13;2;27-daniel.md
Daniel 12:14;2;27-daniel.md
Daniel 12:2;8;27-daniel.md
Daniel 12:3;95;27-daniel.md
Daniel 12:4;6;27-daniel.md
